Div ARTEFACT DNA DNA/Academ-1 DNA/Academ-2 DNA/Academ-2? DNA/CMC-Chapaev DNA/CMC-Chapaev-3 DNA/CMC-EnSpm DNA/CMC-EnSpm? DNA/CMC-Mirage DNA/CMC-Transib DNA/Crypton DNA/Crypton-A DNA/Crypton-H DNA/Crypton-V DNA/Crypton? DNA/Dada DNA/Ginger DNA/Ginger-1 DNA/Ginger-2 DNA/IS3EU DNA/Kolobok DNA/Kolobok-E DNA/Kolobok-Hydra DNA/Kolobok-T2 DNA/Kolobok-T2? DNA/Kolobok? DNA/MULE DNA/MULE-MuDR DNA/MULE-MuDR? DNA/MULE-NOF DNA/MULE-NOF? DNA/Maverick DNA/Merlin DNA/P DNA/PIF-Harbinger DNA/PIF-Harbinger? DNA/PIF-ISL2EU DNA/PIF-Spy DNA/PiggyBac DNA/PiggyBac? DNA/Sola-1 DNA/Sola-2 DNA/Sola-2? DNA/Sola-3 DNA/TcMar DNA/TcMar-Fot1 DNA/TcMar-ISRm11 DNA/TcMar-Mariner DNA/TcMar-Pogo DNA/TcMar-Stowaway DNA/TcMar-Stowaway? DNA/TcMar-Tc1 DNA/TcMar-Tc2 DNA/TcMar-Tc4 DNA/TcMar-Tigger DNA/TcMar-m44 DNA/TcMar? DNA/Zator DNA/Zisupton DNA/hAT DNA/hAT-Ac DNA/hAT-Blackjack DNA/hAT-Charlie DNA/hAT-Pegasus DNA/hAT-Tag1 DNA/hAT-Tip100 DNA/hAT-Tip100? DNA/hAT-hAT1 DNA/hAT-hAT19 DNA/hAT-hAT5 DNA/hAT-hATm DNA/hAT-hATw DNA/hAT-hATx DNA/hAT-hobo DNA/hAT? DNA? DNA?/TcMar-Fot1? DNA?/hAT? LINE LINE/CR1 LINE/CR1-Zenon LINE/CRE LINE/Dong-R4 LINE/I LINE/I-Jockey LINE/L1 LINE/L1-DRE LINE/L1-Tx1 LINE/L2 LINE/Penelope LINE/Proto2 LINE/R1 LINE/R1-LOA LINE/R2 LINE/R2-Hero LINE/R2-NeSL LINE/RTE LINE/RTE-BovB LINE/RTE-ORTE LINE/RTE-RTE LINE/RTE-X LINE/Rex-Babar LINE? LINE?/Penelope? LTR LTR/Bhikhari LTR/Copia LTR/Copia? LTR/DIRS LTR/ERV-Foamy LTR/ERV-Lenti LTR/ERV1 LTR/ERV1? LTR/ERV4 LTR/ERVK LTR/ERVK? LTR/ERVL LTR/ERVL-MaLR LTR/ERVL? LTR/Gypsy LTR/Gypsy? LTR/Ngaro LTR/Pao LTR/Unknown Other/DNA_virus RC/Helitron RC/Helitron? RNA Retroposon/SVA Retroposon? SINE/5S-Sauria-RTE SINE/7SL SINE/B4 SINE/ID SINE/U SINE/tRNA SINE/tRNA-7SL SINE/tRNA-Core SINE/tRNA-Deu-I SINE/tRNA-Deu-L2 SINE/tRNA-I SINE/tRNA-L2 SINE/tRNA-Mermaid SINE/tRNA-Meta SINE/tRNA-RTE SINE? SINE?/tRNA Satellite Satellite/acromeric Satellite/centromeric Satellite/macro Simple_repeat Unknown rRNA snRNA tRNA 
0 0 16082 43384 105 39 390679 295283 294483 28833 0 360667 3319 0 12664 0 2622 51 214923 1477 31 1183 1623 0 528391 0 66 17835 132 184723 57 83 0 53874 31795 786551 33107 0 148588 221 83224 0 372189 360786 853 327692 0 708819 187019 298296 1668 41 0 189402 10310 0 602 0 0 136542 0 455 895059 72374 157666 0 69454 1334480 0 0 0 88257 1036177 78689 198736 264 0 0 0 0 90 1342288 0 4190 0 0 0 38 0 57853 3134083 291625 251867 0 0 282 0 104 0 64 0 0 139 0 0 0 0 0 10339 0 0 0 0 44 0 0 0 0 0 0 0 342396 0 0 42932 36 0 741005 0 0 0 0 0 0 45 52 0 48152 0 0 0 0 0 0 0 0 0 0 0 594 0 0 0 0 45193 107 0 42 
1 0 74561 26172 0 0 510619 204617 2010593 93127 0 634515 3456 0 25812 0 9052 0 251411 2401 71 0 687 0 574366 74 0 154329 38205 70218 12 0 0 497519 35033 1295048 261673 0 137425 5649 16857 0 151647 871253 13042 433446 76 1104732 580898 73497 20433 142 0 242395 88771 0 979 0 0 182839 189 878 921935 54955 35646 65 155015 1865253 0 0 0 203665 1940975 291155 350574 9490 0 0 0 0 0 3475985 0 27472 0 0 0 0 0 64076 4971481 754877 188835 0 0 3051 0 397 0 69 0 0 75 0 0 0 0 0 26902 0 69 0 0 75 0 0 57 0 0 0 0 655967 0 0 302604 0 0 1534746 0 0 0 0 0 0 0 119 0 208672 0 0 0 0 0 0 0 0 0 0 0 317 0 0 0 0 80704 0 0 75 
2 0 88966 17336 450 10923 516736 113573 2492025 141109 0 782371 4671 0 21560 50 28249 0 201444 3986 92 177 3552 0 285374 64 0 350601 18834 31548 87 82 0 871324 32231 1002299 123988 40 39708 26856 5481 102 89196 839008 18381 48823 0 924316 236693 30800 72919 117 0 369481 86971 0 3581 0 0 84493 52 5296 441289 28330 13104 123 108997 1405467 0 0 0 62501 1458039 92278 162591 10284 62 0 0 0 697 2497908 0 56074 0 0 0 68 0 50558 3262072 616980 197184 0 0 4157 0 124 0 234 0 0 55 83 86 0 0 0 13940 0 0 0 0 56 0 0 0 0 0 0 0 714275 0 0 188393 120 154 1163916 0 0 0 0 0 0 0 1298 0 278824 0 0 0 0 0 0 0 0 0 0 0 520 0 0 0 0 136555 76 49 934 
3 0 133233 20627 874 19362 712463 41743 1785760 33312 0 424124 6783 0 31199 0 24069 0 204653 8277 137 170 5342 0 206049 0 0 341553 7062 48729 0 263 0 792652 34106 694632 42194 0 62497 23234 10892 0 59353 593381 17858 39028 89 838189 97323 67224 44745 314 0 1111355 46867 0 15039 0 0 41598 171 6626 409832 22509 15880 133 139347 1284436 0 0 0 74535 1158391 63827 80083 4866 120 0 0 0 904 3036363 0 28353 0 0 0 94 0 45954 2147227 432985 137465 0 0 1522 0 295 0 438 0 0 147 149 1258 0 0 0 1322 0 0 0 0 0 0 34 59 0 0 0 0 486942 0 0 129808 184 83 1131701 0 0 0 0 0 0 0 2255 0 266408 0 0 0 0 0 0 0 0 0 0 0 450 0 0 0 0 258891 431 214 1103 
4 0 203650 38864 1207 11286 1014424 25853 1447396 10845 0 315531 10878 0 29230 167 19759 84 144751 15073 268 272 12959 0 135672 90 0 248292 13826 53559 97 0 0 667924 48222 598785 28787 0 93770 13681 23318 0 66970 594904 10800 64199 97 908118 91362 83197 28329 3563 0 1270742 49358 27 21212 0 0 37497 383 21638 451301 45007 23546 1083 134693 1043750 0 0 0 80002 1052059 52478 123761 708 0 0 0 0 1124 3634802 0 18117 0 166 0 73 0 63171 1978689 421734 72640 0 0 2583 0 427 0 2457 0 0 213 1451 179 0 21 0 48 0 19 0 0 149 0 0 119 0 0 0 0 362007 0 43 100150 571 668 1136235 0 0 0 0 0 0 0 3415 0 230955 0 0 0 0 0 0 0 0 0 0 0 643 0 0 0 0 476786 582 1300 2550 
5 0 331670 76933 4513 10322 811998 20626 1541530 11882 0 356810 13701 0 48252 352 18957 40 111262 29295 901 960 29274 0 165163 168 0 254072 11169 54756 504 931 0 687963 45371 649724 16268 0 117785 5984 57895 0 118747 468994 6376 40092 70 872162 144424 77870 24791 3106 17 1002487 46734 0 20320 0 0 75993 112 31149 544491 123608 43413 871 146140 1040684 0 0 0 123457 1308807 94270 158439 277 0 0 0 0 3427 3798329 0 8527 0 226 0 174 0 93379 1800979 499117 75923 42 0 270 0 1131 0 7289 0 0 42 910 2670 0 0 0 2624 0 0 0 0 682 0 0 0 0 0 0 0 319557 0 0 112826 2260 1041 864841 0 0 0 0 0 0 0 5761 0 232517 0 0 0 0 0 0 0 0 0 0 0 776 0 0 0 0 847564 136 215 4800 
6 0 524291 114108 4103 6939 549186 31475 1761893 11797 0 443642 4251 0 70186 1588 16651 152 67993 43338 1483 1735 55876 0 175539 249 0 406684 18878 62074 532 904 0 572425 34172 549618 36975 0 150920 17871 66442 0 173506 454274 1859 66916 64 937459 178103 83540 29892 2855 0 755978 63346 0 24280 0 0 110452 285 42193 519054 185653 38153 3687 145480 1204294 0 0 0 157338 1290888 96684 193001 246 34 0 0 0 6893 2860969 0 7738 0 0 32 312 0 126174 1721157 475516 62093 0 0 2108 0 2580 0 12118 0 0 155 2886 3283 0 46 0 7816 0 49 0 0 114 34 0 247 0 0 0 0 349684 0 0 56515 729 2341 878144 0 0 0 0 0 0 0 5866 0 260552 0 0 0 0 0 0 0 0 0 0 0 835 0 0 0 0 1338414 148 954 4613 
7 0 737847 186957 9806 5162 471480 48190 1682067 13285 0 564360 13470 38 110097 3481 13428 97 57520 43818 2001 1339 76522 0 225823 181 0 154783 12110 82959 386 3254 0 595977 39913 593606 44103 0 225668 11080 83357 0 221893 532284 903 59658 307 1052118 192976 54770 44693 4728 0 737446 64224 0 24055 0 0 147906 198 48765 575755 197239 55177 8577 145467 1491146 0 0 0 177010 1301889 108644 240381 322 18 0 0 0 10039 2066039 0 13795 0 261 79 201 0 149253 1737045 549779 64953 42 0 2673 0 4036 0 14944 0 0 130 7550 4065 0 0 0 6101 0 95 0 0 240 103 0 216 0 0 0 0 357916 0 55 53419 2153 5833 821747 0 0 0 0 0 0 30 6850 0 259017 0 0 0 0 0 0 0 0 0 0 0 711 0 0 0 0 1871587 7275 89 8522 
8 0 1013235 177115 11039 1445 520836 100551 1644768 9658 0 699358 12564 41 184144 1535 9259 203 41209 46830 5331 1310 115056 0 252460 287 0 105914 3387 90631 219 1573 0 458840 31966 608812 65160 0 255549 27636 83262 118 261858 701160 780 91992 75 960158 188899 44388 66813 5995 0 876499 61056 0 17452 0 0 180054 1260 63593 614883 207862 61874 14609 137571 1778068 0 0 0 183242 1229464 126574 246415 585 49 0 0 0 12125 2060160 0 7514 0 0 93 198 0 147134 1759483 551131 69020 0 0 3227 0 5561 0 16585 0 0 185 10909 2312 0 0 0 5173 0 0 0 0 541 0 0 210 0 0 0 0 397577 0 0 55749 1496 571 882298 0 0 0 0 0 0 67 8442 0 233510 0 0 0 0 0 0 0 0 0 37 0 1804 0 0 0 0 2229959 4512 531 7080 
9 0 1192627 210498 16606 5901 518514 136024 1679643 10245 0 696606 13925 68 252308 1065 8650 264 34834 77653 5182 4031 135166 44 246384 1172 150 81031 3222 72434 613 2525 0 400131 39392 623419 53077 0 252067 28383 58840 27 281535 605855 1803 106275 148 909908 173997 33429 61648 3079 27 865188 55254 11 21250 0 0 227258 1348 68825 655137 204309 62684 18806 185139 2070701 0 0 46 189233 1162603 180702 275378 1127 300 0 0 0 25034 2028677 35 7610 0 191 71 503 0 144223 1979193 552012 98734 0 0 2140 0 14070 0 17367 0 0 237 13126 1139 0 0 0 5565 0 56 0 0 581 99 0 418 0 0 0 0 335636 0 0 41803 3800 4067 972476 0 0 0 0 0 0 64 8826 0 239439 0 0 0 0 0 0 0 0 0 0 0 3641 0 0 0 0 2441906 8100 190 8286 
