Div DNA DNA/Academ-1 DNA/Academ-2 DNA/Academ-2? DNA/CMC-Chapaev DNA/CMC-Chapaev-3 DNA/CMC-EnSpm DNA/CMC-EnSpm? DNA/CMC-Transib DNA/Crypton DNA/Crypton-A DNA/Crypton-H DNA/Crypton-I DNA/Crypton-V DNA/Crypton? DNA/Dada DNA/Ginger DNA/Ginger-1 DNA/Ginger-2 DNA/IS3EU DNA/Kolobok DNA/Kolobok-E DNA/Kolobok-Hydra DNA/Kolobok-T2 DNA/Kolobok-T2? DNA/Kolobok? DNA/MULE DNA/MULE-MuDR DNA/MULE-MuDR? DNA/MULE-NOF DNA/Maverick DNA/Merlin DNA/P DNA/PIF-Harbinger DNA/PIF-Harbinger? DNA/PIF-ISL2EU DNA/PIF-Spy DNA/PiggyBac DNA/PiggyBac? DNA/Sola-1 DNA/Sola-2 DNA/Sola-2? DNA/Sola-3 DNA/TcMar DNA/TcMar-Fot1 DNA/TcMar-ISRm11 DNA/TcMar-Mariner DNA/TcMar-Pogo DNA/TcMar-Stowaway DNA/TcMar-Stowaway? DNA/TcMar-Tc1 DNA/TcMar-Tc1? DNA/TcMar-Tc2 DNA/TcMar-Tc4 DNA/TcMar-Tigger DNA/TcMar-m44 DNA/TcMar? DNA/Zator DNA/Zisupton DNA/hAT DNA/hAT-Ac DNA/hAT-Blackjack DNA/hAT-Charlie DNA/hAT-Pegasus DNA/hAT-Tag1 DNA/hAT-Tip100 DNA/hAT-hAT19 DNA/hAT-hAT5 DNA/hAT-hATm DNA/hAT-hATw DNA/hAT-hATx DNA/hAT-hobo DNA/hAT? DNA?/hAT? LINE LINE/CR1 LINE/CR1-Zenon LINE/CRE LINE/Dong-R4 LINE/I LINE/I-Jockey LINE/L1 LINE/L1-DRE LINE/L1-Tx1 LINE/L2 LINE/Penelope LINE/Proto2 LINE/R1 LINE/R1-LOA LINE/R2 LINE/R2-Hero LINE/R2-NeSL LINE/RTE-BovB LINE/RTE-ORTE LINE/RTE-RTE LINE/RTE-X LINE/Rex-Babar LINE? LINE?/Penelope? LTR LTR/Bhikhari LTR/Copia LTR/DIRS LTR/ERV-Foamy LTR/ERV1 LTR/ERV1? LTR/ERV4 LTR/ERVK LTR/ERVK? LTR/ERVL LTR/ERVL-MaLR LTR/ERVL? LTR/Gypsy LTR/Gypsy-Troyka LTR/Gypsy? LTR/Ngaro LTR/Pao LTR/Unknown Other/DNA_virus RC/Helitron RC/Helitron? RNA Retroposon Retroposon/SVA Retroposon? SINE/5S SINE/5S-Sauria-RTE SINE/7SL SINE/B4 SINE/ID SINE/L2 SINE/U SINE/tRNA SINE/tRNA-5S SINE/tRNA-7SL SINE/tRNA-Core SINE/tRNA-Core-RTE SINE/tRNA-Deu-L2 SINE/tRNA-L2 SINE/tRNA-Meta SINE/tRNA-RTE SINE? SINE?/tRNA Satellite Satellite/acromeric Satellite/macro Simple_repeat Unknown rRNA snRNA tRNA 
0 345969 241113 448 35 254129 132665 410372 70 1600802 34 0 14209 0 0 84 0 797 46684 0 87244 909 0 376702 1489 86 211 19693 5144 33 9061 30165 1535 200238 231251 0 157392 196 115431 0 290538 254108 112 1193630 0 359008 2214 155247 33977 0 0 723714 0 2909 0 95477 0 0 6117 35 51229 466362 29299 81825 8765 29028 525535 0 1035 1849504 16268 127499 61443 56 0 8546 191776 0 32 0 0 0 0 0 209272 246725 119053 5618 0 0 0 0 166 400 0 0 157 0 44 0 0 0 16640 0 0 35 32 0 0 0 0 0 0 293241 0 0 0 239224 33645 0 61183 0 0 0 0 0 0 0 0 0 571 0 0 14565 0 0 0 0 0 0 0 0 0 0 31163 0 0 0 1455968 318 0 0 
1 900095 79209 19637 144 432043 80311 791859 239 855249 0 0 39841 0 0 60 0 1020 187116 59 25445 623 0 172391 22742 0 0 19104 73609 53 14053 28994 2138 1014312 42390 0 338821 11042 159346 0 445031 769404 0 320415 0 1210913 20461 276799 69362 764 0 2874448 0 74529 0 37341 0 0 49353 81 199556 1416730 345676 225645 130721 245799 1729940 0 7876 2013292 353561 388662 218379 0 0 19639 2166271 0 65 0 0 0 0 0 6067 747069 357492 63961 0 0 0 0 0 7518 0 0 120 447 0 0 0 0 17601 0 0 0 0 0 0 0 0 0 0 471936 0 0 0 115169 29633 0 400632 0 0 0 0 0 0 0 0 0 917 0 0 69116 0 0 0 0 0 0 0 0 0 0 10006 0 0 0 2183522 227 0 0 
2 1228335 131194 79368 319 560108 173230 691964 700 747220 195 0 142128 0 325 86 0 15314 230613 274 3171 5807 0 263767 11745 0 585 34822 149199 134 53678 110719 15293 1240947 45584 0 499758 161223 160627 0 355827 1058558 100 41333 0 1745940 64749 386641 18919 3139 0 4497051 36 125026 0 103987 0 0 219497 114 160473 1723060 295282 209738 188921 241184 1882149 0 51635 3009281 374683 639450 80843 67 0 39738 2360755 0 772 0 0 0 40 0 133583 1575493 628953 107064 0 0 241 0 351 35583 0 0 408 93 0 0 0 0 5027 0 0 94 0 0 0 0 0 0 0 435632 0 0 0 88400 20597 0 587096 0 0 0 0 0 0 0 0 0 3414 0 0 146010 0 0 0 0 0 0 0 0 0 0 139573 0 26 0 2683957 78 95 1165 
3 1387145 344222 62457 549 610860 86489 804360 1226 650329 116 0 239697 0 11934 207 65 41772 251233 765 1470 19743 0 405772 5982 34 189 11267 148476 198 27751 380828 54670 984854 80703 0 359130 36445 187736 0 309278 1079791 65 47098 250 1318321 130794 241739 20081 4846 0 2522005 0 74050 0 100034 0 0 275129 151 134007 1232925 312846 248780 107608 273841 2036683 0 117821 1558942 377476 622672 31464 123 0 26472 2502047 0 4889 0 0 0 32 0 182942 1496848 758045 124529 0 0 274 0 1040 34838 0 0 146 75 0 0 0 0 1098 85 0 179 39 0 84 0 0 0 0 475782 0 0 0 73699 11775 0 680732 0 0 0 0 0 0 0 0 0 14011 0 0 240483 0 0 0 0 0 0 0 0 0 0 128834 0 0 0 3166181 85 587 1483 
4 1161587 355525 31024 1315 666352 64359 1236896 2010 616074 341 0 333116 0 8930 453 70 15947 258150 785 2036 50056 0 407694 2167 51 650 7101 140554 363 6457 551892 51677 972938 102497 0 277646 18152 150827 60 293628 937408 88 107857 0 1351011 150679 155619 23311 4137 0 2056133 0 71305 0 43848 0 0 256618 453 187891 1126960 426609 226982 93554 265080 2070432 0 97932 1837791 225875 614277 37997 65 0 26556 2982104 0 8170 0 83 0 0 0 112829 1967642 858908 99654 0 0 2421 0 2397 38289 0 0 377 3460 0 0 0 0 2344 0 0 394 0 0 90 0 0 0 45 447243 0 0 0 91193 16446 0 748057 0 0 0 0 0 0 0 0 0 15486 0 0 318722 0 0 0 0 0 0 0 0 0 0 134289 0 0 0 3559629 422 831 3198 
5 1061587 237104 16395 1700 521232 130555 1480651 3705 741798 523 0 249773 0 8341 630 0 24889 245666 4283 1500 95020 0 328350 727 17 853 12262 99260 241 6879 734856 54663 913866 104439 0 324301 3808 126307 0 266489 859764 580 219573 77 1591358 169328 99166 52391 10954 84 1761769 0 61540 0 23105 0 0 486514 440 201331 1061170 363013 120564 47672 208663 2033315 0 135817 1755211 156587 487433 25293 72 0 27624 3077303 0 5105 0 246 0 86 0 92159 2277584 1083305 137592 0 0 4874 0 7120 20596 0 0 245 4179 0 0 0 0 3869 97 0 535 0 0 74 0 41 0 0 348656 0 0 35 141425 20217 33 1014167 0 0 0 0 0 0 0 0 85 20653 0 0 413931 0 0 0 0 0 0 0 0 279 0 93433 0 0 0 3454002 124 41 3873 
6 1100850 236251 11713 3241 738277 128575 1355845 6160 998113 1452 0 174082 0 3501 1995 48 28385 189594 2205 2136 100260 0 522148 1327 34 1078 10386 100114 452 2916 828523 75866 870184 80527 0 261245 23301 109052 0 306585 1047407 1394 150109 357 1625957 210207 66983 86717 14483 120 1522396 0 70535 0 19500 0 0 554009 947 151533 825942 478874 74350 20384 138485 1846964 48 213523 1730955 133519 402191 8320 0 0 25226 3266512 0 8361 0 220 32 167 0 100749 2764595 1248972 101286 107 0 9198 0 3007 9132 0 0 244 8824 0 0 0 0 505 0 0 735 141 0 187 12 0 0 0 341452 0 0 85 148604 19314 30 978917 0 0 0 0 0 0 0 0 40 13092 0 0 443549 0 0 0 0 0 0 0 0 0 0 53225 0 0 0 3451878 10138 1146 4721 
7 1191783 244730 16102 11976 677709 145174 1186451 7398 1216553 3390 0 151837 0 3095 2411 0 33195 126231 5540 1294 119940 0 448575 666 44 1793 3894 78047 321 1002 1023757 40258 770067 82435 41 267148 23344 139336 59 311725 857677 3931 152467 136 1415841 208480 33289 97763 12704 119 1388896 0 71557 0 16593 0 0 467372 840 147850 686767 411533 74198 14207 115838 1837635 0 186865 1821052 199008 330234 8029 510 0 21897 3254699 0 9347 0 88 97 239 0 105254 3171983 1235512 117025 32 0 1687 0 17668 13948 0 0 155 7129 86 0 81 0 1263 0 0 1364 0 0 163 0 0 0 0 390214 0 0 0 122747 13689 41 936085 0 0 0 44 0 0 0 0 66 13231 0 0 414637 0 0 0 0 0 0 0 0 0 0 30353 66 0 0 3404155 11069 0 6547 
8 1318709 194050 19759 21557 572178 177242 1135096 7943 1007568 5658 40 161823 0 4058 4009 201 54154 141706 5839 1760 143095 0 392934 1328 122 10347 9766 82304 805 2582 1139921 43075 702559 102306 0 290115 16185 174768 0 227396 929355 5653 138024 608 1210906 186467 36953 77526 14577 30 1113754 0 58844 0 8878 0 0 421193 1354 106300 661364 312158 93957 14364 93228 1818401 0 201790 1905994 184296 362825 1950 356 0 17408 2997099 0 8773 0 247 38 249 0 121472 3083167 1052892 169968 16 0 13793 0 17796 12700 0 0 376 8295 945 0 48 0 6747 0 0 2703 83 0 234 0 0 0 0 324379 0 0 0 99660 14470 272 895376 0 0 0 0 0 0 0 0 0 10339 0 0 363845 0 0 0 0 0 0 0 0 0 0 24127 0 0 0 3213102 4990 323 8770 
9 1211137 168510 16499 15195 507133 215287 1156826 15572 851512 3235 0 165131 0 3212 3631 339 103765 141488 5485 3503 159948 0 348188 1388 275 16777 4330 77170 1340 4523 992309 39979 584189 80588 0 210396 30215 128549 0 233406 822264 5211 139466 524 1022043 179610 33837 63363 8468 466 1100736 0 55348 40 9784 0 0 359922 1445 90232 578196 218349 78473 9977 90439 1868897 0 162752 1756371 177461 344566 1987 385 0 26001 2873091 35 8476 0 34 0 146 0 132382 3287046 967911 110431 187 0 6028 0 25413 22895 34 0 515 7590 81 0 13 0 7309 122 0 1526 64 0 250 0 0 0 0 269331 0 0 116 77335 12360 198 793011 0 0 0 0 0 0 0 0 0 12000 0 0 314352 0 0 102 0 0 0 0 0 0 0 23145 59 0 0 2961157 2868 461 8111 
10 1080195 200137 15844 14552 467757 166329 1205086 12074 824496 9105 40 171355 0 3173 5659 320 122206 138546 8349 5094 166024 50 280921 1481 231 22002 2079 87273 1789 7878 1045651 31876 610758 62500 0 176900 31028 94978 341 169923 668351 9391 148062 1114 860999 145271 29650 67536 6959 35 1045626 0 58438 61 2970 0 0 318118 1393 86483 515155 218434 82386 6056 113086 1780366 0 161277 1495542 215075 278747 4200 334 0 34755 2882594 0 5547 62 41 24 268 0 159994 2750195 974822 100738 64 45 2774 0 25792 24911 0 0 198 4262 11406 0 138 0 3632 0 0 2288 59 0 317 0 -1 0 0 257095 0 0 66 43379 11486 104 768615 0 0 0 0 0 0 0 0 22 17163 0 0 286993 0 0 0 0 0 0 0 0 0 0 17124 0 0 0 2698826 26513 170 5409 
11 950025 110106 11637 4944 451916 144673 1174749 12831 792401 9668 -2 173789 0 1255 9619 725 96464 104812 8521 4177 156926 0 236328 978 106 12617 2348 67018 1137 6648 897505 30952 729227 48045 0 154173 28015 68349 188 148443 617462 21100 107300 663 800017 131919 33835 55317 5167 325 875677 0 63264 0 3726 0 0 338282 2641 74657 496606 196230 84973 3428 98416 1793599 74 157209 1365206 180008 215962 9658 742 0 60051 2704047 0 3425 0 175 136 1231 0 339545 2621800 947803 145996 321 0 5940 0 28968 18853 0 0 507 3981 77 0 0 0 10295 24 0 1685 50 0 811 0 0 0 0 303190 0 0 0 39012 8913 218 776882 0 0 0 0 0 0 0 0 0 24525 0 0 254622 0 0 0 0 0 0 0 0 0 0 11580 0 0 0 2464871 4207 588 5104 
12 819266 135069 13801 3479 450117 115875 1148298 10913 746918 6234 106 180982 0 1415 13530 450 99012 104799 10575 11771 125566 0 193000 2097 208 10798 3353 64484 1970 4092 779012 36101 617780 36273 0 134678 29701 67022 333 164843 584645 40727 116199 567 705666 120388 29760 49398 6354 0 687805 0 72727 47 1198 0 0 322541 2877 64036 468335 184580 65914 3979 98129 1734228 96 172034 1314168 156942 201431 13434 646 0 38807 2695438 16 5010 0 136 143 922 0 296875 2491171 835992 98595 183 0 3098 0 34116 24764 0 0 463 4924 3595 0 51 0 9434 202 0 2733 0 0 755 79 0 0 0 296259 0 0 97 37408 9269 74 805716 0 0 0 0 0 0 54 0 0 40715 0 43 230685 0 0 0 0 0 28 0 0 0 0 8279 0 0 0 2224008 190 206 5301 
13 708543 102693 9730 3675 457465 97380 1076964 15267 682968 9635 0 170480 0 4606 16790 421 143396 86123 8934 9890 106512 101 183372 2186 516 9478 2733 64154 2003 5157 740855 28869 600513 43882 0 128552 26190 51376 51 114797 606729 24062 106921 693 649877 113696 32892 48991 5730 286 651065 0 76751 0 4217 0 0 336287 3369 53292 452480 177981 76685 8323 93864 1714470 0 174465 1201265 131004 223004 10623 312 0 19403 2432242 0 15307 0 58 64 1124 0 329848 2063672 704229 141219 160 0 6714 0 27365 24094 41 51 244 2912 3255 0 98 0 5291 49 9 2633 115 0 144 74 80 0 0 247070 63 0 402 40249 6475 275 828175 0 95 0 0 231 0 0 0 18 45479 0 0 216151 0 0 0 0 0 0 0 0 0 0 7279 0 0 0 1947076 564 286 3633 
