Div ARTEFACT DNA DNA/Academ-1 DNA/Academ-2 DNA/Academ-2? DNA/CMC-Chapaev DNA/CMC-Chapaev-3 DNA/CMC-EnSpm DNA/CMC-EnSpm? DNA/CMC-Mirage DNA/CMC-Transib DNA/Crypton DNA/Crypton-A DNA/Crypton-H DNA/Crypton-I DNA/Crypton-V DNA/Crypton? DNA/Dada DNA/Ginger DNA/Ginger-1 DNA/Ginger-2 DNA/IS3EU DNA/Kolobok DNA/Kolobok-E DNA/Kolobok-Hydra DNA/Kolobok-T2 DNA/Kolobok-T2? DNA/Kolobok? DNA/MULE DNA/MULE-MuDR DNA/MULE-MuDR? DNA/MULE-NOF DNA/MULE-NOF? DNA/Maverick DNA/Merlin DNA/P DNA/P-Fungi DNA/PIF-Harbinger DNA/PIF-Harbinger? DNA/PIF-ISL2EU DNA/PIF-Spy DNA/PiggyBac DNA/PiggyBac? DNA/Sola-1 DNA/Sola-2 DNA/Sola-2? DNA/Sola-3 DNA/TcMar DNA/TcMar-Fot1 DNA/TcMar-ISRm11 DNA/TcMar-Mariner DNA/TcMar-Pogo DNA/TcMar-Pogo? DNA/TcMar-Stowaway DNA/TcMar-Stowaway? DNA/TcMar-Tc1 DNA/TcMar-Tc1? DNA/TcMar-Tc2 DNA/TcMar-Tc4 DNA/TcMar-Tigger DNA/TcMar-m44 DNA/TcMar? DNA/Zator DNA/Zisupton DNA/hAT DNA/hAT-Ac DNA/hAT-Ac? DNA/hAT-Blackjack DNA/hAT-Charlie DNA/hAT-Pegasus DNA/hAT-Tag1 DNA/hAT-Tip100 DNA/hAT-Tip100? DNA/hAT-hAT1 DNA/hAT-hAT19 DNA/hAT-hAT5 DNA/hAT-hAT6 DNA/hAT-hATm DNA/hAT-hATw DNA/hAT-hATx DNA/hAT-hobo DNA/hAT? DNA? DNA?/hAT? LINE LINE/CR1 LINE/CR1-Zenon LINE/CRE LINE/Dong-R4 LINE/I LINE/I-Jockey LINE/L1 LINE/L1-DRE LINE/L1-Tx1 LINE/L2 LINE/L2? LINE/Penelope LINE/Proto2 LINE/R1 LINE/R1-LOA LINE/R2 LINE/R2-Hero LINE/R2-NeSL LINE/RTE-BovB LINE/RTE-ORTE LINE/RTE-RTE LINE/RTE-X LINE/Rex-Babar LINE? LINE?/Penelope? LTR LTR/Bhikhari LTR/Copia LTR/Copia? LTR/DIRS LTR/ERV-Foamy LTR/ERV1 LTR/ERV1? LTR/ERV4 LTR/ERVK LTR/ERVK? LTR/ERVL LTR/ERVL-MaLR LTR/ERVL? LTR/Gypsy LTR/Gypsy? LTR/Ngaro LTR/Pao Other Other/DNA_virus RC/Helitron RC/Helitron? Retroposon Retroposon? SINE/5S-Sauria-RTE SINE/7SL SINE/B4 SINE/ID SINE/L2 SINE/MIR SINE/U SINE/tRNA SINE/tRNA-5S SINE/tRNA-7SL SINE/tRNA-CR1 SINE/tRNA-Ceph SINE/tRNA-Core SINE/tRNA-Core-L2 SINE/tRNA-Core-RTE SINE/tRNA-Deu SINE/tRNA-Deu-I SINE/tRNA-Deu-L2 SINE/tRNA-Deu-RTE SINE/tRNA-I SINE/tRNA-L2 SINE/tRNA-Meta SINE/tRNA-RTE SINE/tRNA-V Satellite Satellite/Y-chromosome Satellite/acromeric Satellite/centromeric Satellite/macro Satellite/telomeric Simple_repeat Unknown rRNA snRNA tRNA 
0 0 196859 10069 1481 690 239399 74401 875183 98 0 186643 15562 0 210706 0 84 0 0 426 153185 3186 105 16749 0 247214 54 63 0 199 253871 151 0 0 374974 135610 1557480 6027 80515 0 408670 18727 282816 0 193079 281348 0 306227 109 444886 1539 1652 1155 0 0 0 418687 33 20309 0 0 0 0 138048 428 65448 1666083 0 21602 299683 1891 6598 936684 0 0 0 175411 0 2611341 280490 46971 147 57 0 0 99003 732336 0 644 0 51 0 39 0 61565 834943 0 1711684 686957 26 0 0 0 0 17820 0 0 0 14385 0 0 1358 0 8786 0 0 0 30 0 0 0 0 0 0 0 1147912 0 0 127520 0 68 167783 0 0 0 0 0 0 0 0 0 456 153097 0 0 0 0 0 0 0 0 0 0 0 0 0 406 0 0 173 0 0 0 0 0 0 3244622 10741 102594 0 
1 0 563559 266476 2387 56 979176 152757 1836325 52 0 1008707 21768 0 489825 0 52 0 0 603 346560 27407 57 645932 0 825423 0 0 0 1480 320906 59 0 0 631086 225331 2884070 24975 245408 0 674701 134515 419746 0 392081 2065777 0 75756 0 1317028 3928 1741 109 0 0 0 353916 0 49878 0 0 0 0 362021 133 44323 1067942 0 85938 57906 27777 108533 3346109 0 0 0 271335 0 4202005 699597 528491 2406 0 0 0 86099 3253155 0 29106 0 0 0 0 0 264541 1727904 0 3140093 315314 0 0 0 0 0 97849 0 0 0 30514 0 0 81159 0 2870 0 0 0 83 0 0 0 0 0 0 0 2006961 0 0 624156 0 456 988752 0 0 0 0 0 42 0 0 0 0 572669 0 0 0 0 0 0 0 0 0 0 0 0 0 6039 0 0 483 0 0 0 0 0 0 9126933 283 14307 447 
2 0 1556669 159753 4917 1516 1021342 132063 2639395 628 0 2579527 1704 0 245977 0 84 0 0 4641 474825 56968 0 2537435 0 1232836 268 39 429 3899 236199 218 0 0 535088 231063 4307362 16180 304192 0 855783 124652 258960 0 472495 2602416 0 125228 0 1174325 5252 4770 934 0 0 0 296415 0 103694 0 0 0 0 378464 1769 196585 994955 0 119716 65211 6508 247936 5132185 0 0 0 269672 0 5223617 274450 790359 9935 123 0 0 82399 2779309 0 60478 0 0 0 111 0 220183 2645228 0 2195262 245006 0 0 159 0 0 249182 0 0 164 54835 0 0 142710 0 56744 0 40 0 119 0 0 0 0 0 0 0 1678832 0 0 628960 0 90 1214231 0 0 0 0 0 0 0 0 0 241 624738 0 0 0 0 0 0 0 0 0 0 0 0 0 71126 0 0 377 0 0 0 0 0 0 15246557 221 7065 1579 
3 0 1829941 213206 16552 700 881851 99306 2725419 524 0 1606181 3802 0 95375 0 109 36 81 14276 597195 72860 241 1890806 0 1484098 110 47 907 6339 140340 52 0 0 522136 296257 3799959 17827 266044 0 713433 68081 173713 0 522806 1660406 36 259886 154 1557789 9434 7092 863 0 148 54 351293 0 179837 32 0 0 0 808915 2697 158515 1147167 0 163486 19685 6914 322868 5006026 0 0 0 155403 0 4365757 151782 588217 14436 60 0 0 58103 3736484 0 33247 0 0 58 142 0 194327 3080390 0 1861007 284772 0 0 86 0 0 729528 34 0 172 55213 0 0 46439 0 30078 0 56 0 136 0 0 0 0 0 0 0 1149394 0 0 284236 0 0 705612 0 0 0 0 0 0 53 0 111 701 577075 0 0 0 0 0 0 0 0 0 0 0 0 0 123597 0 0 578 0 0 0 0 0 0 16779006 238 66070 2489 
4 0 2281287 174962 30643 1630 806876 56797 2450096 3187 0 1442132 365 0 100448 0 215 0 0 41082 417578 77355 788 1114293 0 1410091 104 0 1049 11130 137806 390 0 0 580545 273968 2725177 10630 169582 0 685282 43348 152791 0 403033 1356267 0 373895 256 2496706 2695 15278 1499 0 0 0 342830 0 259184 45 0 0 0 625371 2827 215303 1473634 0 208075 36239 3184 258103 3884091 0 0 0 193126 0 4101726 135497 538705 6460 85 0 0 50690 3005271 0 59991 0 0 0 0 0 218752 2748055 0 1558115 161407 0 0 91 0 0 1240644 0 0 178 23480 422 0 7325 0 17156 0 0 0 380 0 0 79 0 0 0 0 1022381 0 0 200050 0 18093 570088 0 0 0 0 0 0 0 0 501 1006 528934 0 0 0 0 0 0 0 0 0 0 0 0 0 95908 0 0 867 0 0 0 0 0 0 13448283 323 9808 1624 
5 0 2436207 163085 41315 881 742125 56715 2089760 16967 0 1121703 4038 0 103248 0 276 0 201 25172 284315 36763 1989 832586 0 1229354 55 42 2260 6447 65399 500 0 0 761879 262142 2063279 9276 123586 0 427108 20615 111156 0 300197 863097 43 299668 5944 2701809 3599 160788 2912 0 222 123 399583 0 327528 0 0 0 0 602244 2591 230756 1339592 0 237311 39738 1414 247723 3400985 0 0 0 185681 0 3717959 176748 498409 2618 118 0 0 49543 2575012 2494 90954 0 574 0 0 0 86688 2292755 0 1238461 128058 0 0 39 0 0 1882375 0 0 34 12065 0 0 9585 53 31878 0 0 0 203 0 0 117 0 0 0 0 710658 0 0 203492 0 422 819550 0 0 0 0 0 72 115 0 2477 7072 530068 0 0 0 0 0 0 0 0 0 0 0 0 0 79465 0 0 1864 0 0 0 0 0 0 11768092 1138 10609 3656 
6 0 1826388 164238 48479 894 631125 73030 1828870 19537 0 984583 3350 38 133244 0 194 0 240 35739 194726 25646 2116 585638 0 982567 208 66 1440 2331 60286 505 0 0 375018 255525 1594327 11167 80539 0 438108 12438 105574 0 200509 719397 0 237849 3088 2419692 3205 82562 5510 0 1014 121 347958 0 285736 0 0 0 0 485652 2067 167397 1624698 0 205394 39221 2353 224211 3001159 0 0 0 176643 0 2840452 351652 497494 1103 23 0 0 36691 2308270 9381 42479 0 253 0 154 0 89258 2947302 0 948713 100278 151 0 14 0 211 2202693 0 0 155 29909 1962 0 3435 0 34256 0 0 0 1285 51 0 157 0 0 0 0 761238 0 84 152082 0 652 903143 0 0 0 0 0 0 0 0 2611 14025 574665 0 0 0 0 0 0 0 0 0 0 0 0 0 56240 0 32 2625 0 0 0 0 0 0 10890252 2215 6378 1902 
7 0 1762202 197424 30799 2117 573481 43021 1526062 15135 0 707636 626 0 120635 0 419 42 204 36189 180188 23865 2258 482087 0 841702 493 76 5226 6179 99606 1163 0 0 269791 212509 1522247 12207 83181 0 297404 4307 100623 244 221220 631010 0 265556 1893 2326728 1112 68304 10986 0 1582 143 345987 0 203444 0 0 0 0 438592 2883 158832 1473479 0 187431 34377 700 140362 2512588 0 0 0 141120 0 2593978 256661 427342 844 315 0 0 27448 2234435 7287 22169 0 82 0 162 0 178362 2884549 0 920199 126192 0 0 28 0 378 1994014 0 0 41 72978 136 0 4620 0 54183 0 0 0 844 30 43 127 43 80 0 0 698624 0 0 107075 0 5141 648465 0 0 0 0 0 0 54 0 2935 14040 694089 0 0 0 0 0 0 0 0 0 0 0 0 0 39035 0 0 7726 0 0 0 0 0 0 9206918 7584 6369 3570 
8 0 1533069 143182 20901 1394 595131 40859 1418259 20200 0 670018 2870 12 144720 0 532 0 319 50007 210832 12184 1319 527242 0 1090578 298 82 8351 4531 135101 1138 0 0 215167 167895 1328404 10126 50860 0 198200 8376 134387 0 218214 666068 0 135206 1339 1958241 969 70145 21031 0 1548 9 338298 0 158043 86 76 0 0 415318 2356 192067 1395858 0 203166 36702 168 129411 2266524 0 0 0 169953 0 2557011 406407 387395 573 131 0 0 25443 2560464 2465 20510 0 100 0 961 0 233943 2688745 0 801009 327262 110 0 0 0 141 1723128 0 0 457 74517 38 0 676 0 61447 0 124 0 2058 16 148 227 0 0 0 0 533078 0 0 83123 0 124 470424 0 0 0 0 0 0 113 0 1962 30119 673713 0 0 0 0 209 0 0 0 0 0 0 0 0 21513 0 0 7236 0 0 0 0 0 0 8159071 1515 3795 1151 
9 0 1261798 117452 18575 3516 538379 31607 1326190 17300 0 691916 3140 0 165795 0 675 94 336 80952 238675 13562 1574 494287 0 843554 496 282 23181 5207 111888 844 49 0 125376 154188 1152819 6014 50979 0 202586 4680 104658 0 213717 747173 0 99983 829 1828665 804 70747 37533 0 1194 -7 352047 0 135542 0 0 0 0 428351 3696 242134 1215307 2 164280 40410 196 148102 2341005 0 0 0 192668 0 2598100 322770 328923 0 513 0 0 21079 2903178 12369 19534 0 48 0 833 0 152604 2859579 0 856864 271618 135 0 102 0 15 1458997 0 35 318 65467 620 0 1012 0 37549 0 224 0 2359 0 0 442 0 45 0 0 638818 0 98 59997 0 367 345455 0 0 0 0 0 140 106 0 1965 16491 649312 0 0 0 0 110 0 0 0 0 0 0 0 0 19674 0 0 10616 0 0 0 0 0 0 8253201 3605 4305 2519 
