g26852	g26852.t1
g12120	g12120.t1
g12121	g12121.t1
g12122	g12122.t1
g12123	g12123.t1
g20987	g20987.t1
g20987	g20987.t2
g15065	g15065.t1
g15066	g15066.t1
g15066	g15066.t2
g15067	g15067.t1
g15068	g15068.t1
g15069	g15069.t1
g15070	g15070.t1
g15071	g15071.t1
g15072	g15072.t1
g15073	g15073.t1
g15074	g15074.t1
g15075	g15075.t1
g15076	g15076.t1
g15077	g15077.t1
g15078	g15078.t1
g15079	g15079.t1
g15080	g15080.t1
g15081	g15081.t1
g15082	g15082.t1
g15083	g15083.t1
g15084	g15084.t1
g15085	g15085.t1
g15086	g15086.t1
g15087	g15087.t1
g15088	g15088.t1
g15089	g15089.t1
g15090	g15090.t1
g15091	g15091.t1
g15092	g15092.t1
g10568	g10568.t1
g21295	g21295.t1
g21296	g21296.t1
g21297	g21297.t1
g22527	g22527.t1
g22528	g22528.t1
g22529	g22529.t1
g22530	g22530.t1
g22531	g22531.t1
g22532	g22532.t1
g22533	g22533.t1
g22534	g22534.t1
g22535	g22535.t1
g22536	g22536.t1
g22537	g22537.t1
g22538	g22538.t1
g22539	g22539.t1
g22540	g22540.t1
g22541	g22541.t1
g22542	g22542.t1
g22543	g22543.t1
g22544	g22544.t1
g22545	g22545.t1
g19214	g19214.t1
g9025	g9025.t1
g9026	g9026.t1
g9027	g9027.t1
g9028	g9028.t1
g9029	g9029.t1
g9030	g9030.t1
g9030	g9030.t2
g10427	g10427.t1
g33693	g33693.t1
g33694	g33694.t1
g33695	g33695.t1
g33695	g33695.t2
g33696	g33696.t1
g33697	g33697.t1
g33698	g33698.t1
g33699	g33699.t1
g33700	g33700.t1
g33701	g33701.t1
g33701	g33701.t2
g33702	g33702.t1
g33703	g33703.t1
g33704	g33704.t1
g33705	g33705.t1
g33706	g33706.t1
g33707	g33707.t1
g33708	g33708.t1
g33708	g33708.t2
g33709	g33709.t1
g33710	g33710.t1
g33711	g33711.t1
g33712	g33712.t1
g33713	g33713.t1
g33714	g33714.t1
g33714	g33714.t2
g33714	g33714.t3
g33715	g33715.t1
g33716	g33716.t1
g33717	g33717.t1
g33718	g33718.t1
g33719	g33719.t1
g33720	g33720.t1
g33721	g33721.t1
g15957	g15957.t1
g1430	g1430.t1
g6430	g6430.t1
g6431	g6431.t1
g6432	g6432.t1
g6433	g6433.t1
g6434	g6434.t1
g6434	g6434.t2
g6435	g6435.t1
g6436	g6436.t1
g6437	g6437.t1
g6438	g6438.t1
g6439	g6439.t1
g6440	g6440.t1
g6441	g6441.t1
g6442	g6442.t1
g6443	g6443.t1
g6444	g6444.t1
g6445	g6445.t1
g6446	g6446.t1
g6447	g6447.t1
g6448	g6448.t1
g6449	g6449.t1
g6450	g6450.t1
g6451	g6451.t1
g6452	g6452.t1
g6453	g6453.t1
g6454	g6454.t1
g6455	g6455.t1
g6456	g6456.t1
g6457	g6457.t1
g6458	g6458.t1
g6459	g6459.t1
g6460	g6460.t1
g6461	g6461.t1
g6462	g6462.t1
g6463	g6463.t1
g6464	g6464.t1
g6465	g6465.t1
g6466	g6466.t1
g6467	g6467.t1
g6468	g6468.t1
g6469	g6469.t1
g6470	g6470.t1
g6471	g6471.t1
g12386	g12386.t1
g12387	g12387.t1
g12388	g12388.t1
g12389	g12389.t1
g12390	g12390.t1
g12391	g12391.t1
g12392	g12392.t1
g12393	g12393.t1
g12394	g12394.t1
g12395	g12395.t1
g12396	g12396.t1
g12397	g12397.t1
g12398	g12398.t1
g12399	g12399.t1
g12400	g12400.t1
g12401	g12401.t1
g12402	g12402.t1
g12403	g12403.t1
g12404	g12404.t1
g12405	g12405.t1
g12406	g12406.t1
g12407	g12407.t1
g12408	g12408.t1
g12409	g12409.t1
g12410	g12410.t1
g12411	g12411.t1
g12411	g12411.t2
g12412	g12412.t1
g12412	g12412.t2
g12413	g12413.t1
g12414	g12414.t1
g12415	g12415.t1
g12416	g12416.t1
g12417	g12417.t1
g12417	g12417.t2
g12418	g12418.t1
g12419	g12419.t1
g12420	g12420.t1
g12421	g12421.t1
g12422	g12422.t1
g12423	g12423.t1
g12424	g12424.t1
g12425	g12425.t1
g12426	g12426.t1
g12427	g12427.t1
g12428	g12428.t1
g12428	g12428.t2
g12429	g12429.t1
g12430	g12430.t1
g12431	g12431.t1
g12432	g12432.t1
g12433	g12433.t1
g12434	g12434.t1
g12435	g12435.t1
g12436	g12436.t1
g12437	g12437.t1
g12438	g12438.t1
g12439	g12439.t1
g12440	g12440.t1
g12440	g12440.t2
g12440	g12440.t3
g12441	g12441.t1
g12441	g12441.t2
g12441	g12441.t3
g12442	g12442.t1
g12443	g12443.t1
g12444	g12444.t1
g12445	g12445.t1
g12446	g12446.t1
g12447	g12447.t1
g12448	g12448.t1
g12449	g12449.t1
g12450	g12450.t1
g12451	g12451.t1
g12452	g12452.t1
g12453	g12453.t1
g12454	g12454.t1
g12455	g12455.t1
g12456	g12456.t1
g12457	g12457.t1
g12458	g12458.t1
g12459	g12459.t1
g12460	g12460.t1
g12461	g12461.t1
g12462	g12462.t1
g12463	g12463.t1
g12464	g12464.t1
g12465	g12465.t1
g12466	g12466.t1
g12467	g12467.t1
g12468	g12468.t1
g12469	g12469.t1
g12470	g12470.t1
g12471	g12471.t1
g12472	g12472.t1
g12473	g12473.t1
g12474	g12474.t1
g12475	g12475.t1
g12476	g12476.t1
g12477	g12477.t1
g12478	g12478.t1
g12479	g12479.t1
g12480	g12480.t1
g12481	g12481.t1
g12482	g12482.t1
g12483	g12483.t1
g12484	g12484.t1
g12485	g12485.t1
g12486	g12486.t1
g12487	g12487.t1
g12488	g12488.t1
g12489	g12489.t1
g12490	g12490.t1
g12491	g12491.t1
g12492	g12492.t1
g12493	g12493.t1
g12494	g12494.t1
g12495	g12495.t1
g12496	g12496.t1
g12497	g12497.t1
g12498	g12498.t1
g12499	g12499.t1
g12500	g12500.t1
g12501	g12501.t1
g12502	g12502.t1
g12503	g12503.t1
g12504	g12504.t1
g12505	g12505.t1
g12506	g12506.t1
g12507	g12507.t1
g12508	g12508.t1
g12509	g12509.t1
g12510	g12510.t1
g12511	g12511.t1
g12512	g12512.t1
g12513	g12513.t1
g12514	g12514.t1
g12515	g12515.t1
g12516	g12516.t1
g12517	g12517.t1
g12518	g12518.t1
g12519	g12519.t1
g12520	g12520.t1
g12521	g12521.t1
