"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,6.70651702650979,0.996,0.042,0,"Ec_BasalDisk","HVAEP1-G020671"
0,6.09510367512668,0.992,0.019,0,"Ec_BasalDisk","HVAEP1-G010204"
0,5.93280598589254,0.994,0.034,0,"Ec_BasalDisk","HVAEP1-G021955"
0,5.75344336351479,1,0.017,0,"Ec_BasalDisk","HVAEP1-G028410"
0,5.63713640412975,0.975,0.015,0,"Ec_BasalDisk","HVAEP1-G002299"
0,5.42025690706407,0.989,0.05,0,"Ec_BasalDisk","HVAEP1-G002428"
0,5.38207147167215,0.962,0.012,0,"Ec_BasalDisk","HVAEP1-G001138"
0,5.16728066030779,0.987,0.01,0,"Ec_BasalDisk","HVAEP1-G020675"
0,5.05301743969157,0.945,0.01,0,"Ec_BasalDisk","HVAEP1-G021807"
0,4.73646458183709,0.943,0.006,0,"Ec_BasalDisk","HVAEP1-G020720"
0,4.72422638574263,0.97,0.006,0,"Ec_BasalDisk","HVAEP1-G014104"
0,4.65644035437737,0.983,0.037,0,"Ec_BasalDisk","HVAEP1-G006596"
0,4.56308300602033,0.937,0.007,0,"Ec_BasalDisk","HVAEP1-G001119"
0,4.52049310098461,1,0.327,0,"Ec_BasalDisk","HVAEP1-G002424"
0,4.49900729029343,0.966,0.184,0,"Ec_BasalDisk","HVAEP1-G001209"
0,4.49021449980763,0.92,0.165,0,"Ec_BasalDisk","HVAEP1-G009194"
0,4.43784099441937,0.93,0.023,0,"Ec_BasalDisk","HVAEP1-G005583"
0,4.40483174115556,0.829,0.022,0,"Ec_BasalDisk","HVAEP1-G002304"
0,4.30851198546346,0.989,0.191,0,"Ec_BasalDisk","HVAEP1-G019714"
0,4.29103285960648,0.958,0.021,0,"Ec_BasalDisk","HVAEP1-G006789"
0,4.17171041602194,0.981,0.032,0,"Ec_BasalDisk","HVAEP1-G006609"
0,3.9434732416996,0.84,0.033,0,"Ec_BasalDisk","HVAEP1-G002182"
0,3.83500159791595,0.892,0.022,0,"Ec_BasalDisk","HVAEP1-G013209"
0,3.80699691494942,0.949,0.072,0,"Ec_BasalDisk","HVAEP1-G002303"
0,3.55615185150277,0.736,0.003,0,"Ec_BasalDisk","HVAEP1-G020722"
0,3.41370303084258,0.637,0.007,0,"Ec_BasalDisk","HVAEP1-G002276"
0,3.28492578162401,0.981,0.207,0,"Ec_BasalDisk","HVAEP1-G002427"
0,3.28081718794775,0.973,0.005,0,"Ec_BasalDisk","HVAEP1-G014494"
0,3.22850606076745,0.977,0.245,0,"Ec_BasalDisk","HVAEP1-G025159"
0,3.22635272877433,0.386,0.012,0,"Ec_BasalDisk","HVAEP1-G005165"
0,3.1158312688287,0.833,0.223,0,"Ec_BasalDisk","HVAEP1-G002307"
0,3.0194284382681,0.897,0.033,0,"Ec_BasalDisk","HVAEP1-G021812"
0,2.92614740165652,0.941,0.018,0,"Ec_BasalDisk","HVAEP1-G000598"
0,2.90638465369136,0.937,0.22,0,"Ec_BasalDisk","HVAEP1-G015718"
0,2.87286826204791,0.81,0.004,0,"Ec_BasalDisk","HVAEP1-G004171"
0,2.84162127044379,0.884,0.078,0,"Ec_BasalDisk","HVAEP1-G005582"
0,2.82690865520168,0.848,0.055,0,"Ec_BasalDisk","HVAEP1-G013925"
0,2.80197683267254,0.901,0.003,0,"Ec_BasalDisk","HVAEP1-G001545"
0,2.73970807226337,0.975,0.353,0,"Ec_BasalDisk","HVAEP1-G014848"
0,2.70436143889492,0.867,0.004,0,"Ec_BasalDisk","HVAEP1-G001226"
0,2.69690873809136,0.681,0.004,0,"Ec_BasalDisk","HVAEP1-G014492"
0,2.67335891033469,0.882,0.004,0,"Ec_BasalDisk","HVAEP1-G015970"
0,2.64080750331939,0.829,0.003,0,"Ec_BasalDisk","HVAEP1-G006773"
0,2.62490747066701,0.93,0.157,0,"Ec_BasalDisk","HVAEP1-G027100"
0,2.61733708824457,0.907,0.007,0,"Ec_BasalDisk","HVAEP1-G017592"
0,2.57035172534383,0.637,0.001,0,"Ec_BasalDisk","HVAEP1-G001222"
0,2.55221570145524,0.882,0.006,0,"Ec_BasalDisk","HVAEP1-G018568"
0,2.53091970549184,0.819,0.005,0,"Ec_BasalDisk","HVAEP1-G013335"
0,2.53041071655967,0.249,0.003,0,"Ec_BasalDisk","HVAEP1-G009487"
0,2.51158048449421,0.747,0.124,0,"Ec_BasalDisk","HVAEP1-G024237"
0,2.49071223183955,0.903,0.007,0,"Ec_BasalDisk","HVAEP1-G004122"
0,2.4890449029119,0.88,0.004,0,"Ec_BasalDisk","HVAEP1-G015619"
0,2.39691506019855,0.89,0.01,0,"Ec_BasalDisk","HVAEP1-G010024"
0,2.35250450165071,0.854,0.112,0,"Ec_BasalDisk","HVAEP1-G016825"
0,2.34893954488913,0.85,0.064,0,"Ec_BasalDisk","HVAEP1-G022133"
0,2.30613890290505,0.724,0.003,0,"Ec_BasalDisk","HVAEP1-G007224"
0,2.30375081306156,0.869,0.018,0,"Ec_BasalDisk","HVAEP1-G003185"
0,2.2931641461692,0.985,0.255,0,"Ec_BasalDisk","HVAEP1-G012478"
0,2.28423484388959,0.869,0.002,0,"Ec_BasalDisk","HVAEP1-G003512"
0,2.22125353601497,0.821,0.015,0,"Ec_BasalDisk","HVAEP1-G012025"
0,2.20779261388701,0.92,0.227,0,"Ec_BasalDisk","HVAEP1-G025904"
0,2.19958526282827,0.84,0.002,0,"Ec_BasalDisk","HVAEP1-G002175"
0,2.13879293734553,0.884,0.027,0,"Ec_BasalDisk","HVAEP1-G024863"
0,2.13603013836846,0.648,0.099,0,"Ec_BasalDisk","HVAEP1-G028420"
0,2.125603071449,0.859,0.09,0,"Ec_BasalDisk","HVAEP1-G006440"
0,2.11749623115591,0.829,0.003,0,"Ec_BasalDisk","HVAEP1-G016116"
0,2.07617984777301,0.774,0.002,0,"Ec_BasalDisk","HVAEP1-G016363"
0,2.05538758787789,0.751,0.104,0,"Ec_BasalDisk","HVAEP1-G007012"
0,2.04459817468879,0.8,0.014,0,"Ec_BasalDisk","HVAEP1-G014500"
0,2.01182846346958,0.572,0.006,0,"Ec_BasalDisk","HVAEP1-G010772"
0,1.98021613273341,0.806,0.001,0,"Ec_BasalDisk","HVAEP1-G002143"
0,1.97982676414499,0.778,0.003,0,"Ec_BasalDisk","HVAEP1-G007688"
0,1.96601358090651,0.819,0.103,0,"Ec_BasalDisk","HVAEP1-G016823"
0,1.94047088827444,0.852,0.043,0,"Ec_BasalDisk","HVAEP1-G013086"
0,1.92863028784578,0.728,0.023,0,"Ec_BasalDisk","HVAEP1-G009158"
0,1.92426748479767,0.797,0.006,0,"Ec_BasalDisk","HVAEP1-G011178"
0,1.90575602829293,0.768,0.043,0,"Ec_BasalDisk","HVAEP1-G025908"
0,1.89683551423673,0.835,0.005,0,"Ec_BasalDisk","HVAEP1-G012845"
0,1.89640006429106,0.759,0.07,0,"Ec_BasalDisk","HVAEP1-G011734"
0,1.89278104903429,0.903,0.154,0,"Ec_BasalDisk","HVAEP1-G026267"
0,1.89197081234284,0.795,0.005,0,"Ec_BasalDisk","HVAEP1-G016333"
0,1.88963919868991,0.764,0.027,0,"Ec_BasalDisk","HVAEP1-G021851"
0,1.87550592798335,0.757,0.017,0,"Ec_BasalDisk","HVAEP1-G006514"
0,1.86381657322306,0.871,0.15,0,"Ec_BasalDisk","HVAEP1-G028686"
0,1.86214151923251,0.819,0.035,0,"Ec_BasalDisk","HVAEP1-G020964"
0,1.8573877117256,0.749,0.022,0,"Ec_BasalDisk","HVAEP1-G016019"
0,1.85686758587546,0.768,0.019,0,"Ec_BasalDisk","HVAEP1-G004092"
0,1.83042451047542,0.907,0.22,0,"Ec_BasalDisk","HVAEP1-G009216"
0,1.7924864535402,0.823,0.093,0,"Ec_BasalDisk","HVAEP1-G003425"
0,1.78854432980391,0.857,0.111,0,"Ec_BasalDisk","HVAEP1-G020630"
0,1.76742331773083,0.751,0.022,0,"Ec_BasalDisk","HVAEP1-G005702"
0,1.72140482558911,0.77,0.058,0,"Ec_BasalDisk","HVAEP1-G021174"
0,1.72067119845064,0.81,0.074,0,"Ec_BasalDisk","HVAEP1-G000784"
0,1.69405757314605,0.783,0.018,0,"Ec_BasalDisk","HVAEP1-G001234"
0,1.69186243100996,0.705,0.004,0,"Ec_BasalDisk","HVAEP1-G025678"
0,1.66833211837365,0.778,0.054,0,"Ec_BasalDisk","HVAEP1-G011268"
0,1.63986490144058,0.715,0.001,0,"Ec_BasalDisk","HVAEP1-G014493"
0,1.62487532361962,0.745,0.082,0,"Ec_BasalDisk","HVAEP1-G012086"
0,1.61653429826661,0.734,0.004,0,"Ec_BasalDisk","HVAEP1-G016651"
0,1.61085430949493,0.787,0.039,0,"Ec_BasalDisk","HVAEP1-G016381"
0,1.60772749121861,0.745,0.054,0,"Ec_BasalDisk","HVAEP1-G017164"
0,1.60498121308494,0.753,0.042,0,"Ec_BasalDisk","HVAEP1-G017483"
0,1.59996448991137,0.698,0.002,0,"Ec_BasalDisk","HVAEP1-G013049"
0,1.5937391401203,0.766,0.05,0,"Ec_BasalDisk","HVAEP1-G004837"
0,1.56251043449938,0.675,0.002,0,"Ec_BasalDisk","HVAEP1-G022951"
0,1.55993865888747,0.766,0.12,0,"Ec_BasalDisk","HVAEP1-G013594"
0,1.53997393890026,0.762,0.123,0,"Ec_BasalDisk","HVAEP1-G002014"
0,1.52412669037002,0.546,0.034,0,"Ec_BasalDisk","HVAEP1-G008602"
0,1.47195982083532,0.686,0.029,0,"Ec_BasalDisk","HVAEP1-G026269"
0,1.4652971537182,0.736,0.061,0,"Ec_BasalDisk","HVAEP1-G000783"
0,1.46320816899774,0.776,0.097,0,"Ec_BasalDisk","HVAEP1-G025493"
0,1.45911522420119,0.732,0.149,0,"Ec_BasalDisk","HVAEP1-G023535"
0,1.45799306717984,0.728,0.082,0,"Ec_BasalDisk","HVAEP1-G018344"
0,1.44491721597714,0.627,0.002,0,"Ec_BasalDisk","HVAEP1-G028145"
0,1.44277670958673,0.797,0.134,0,"Ec_BasalDisk","HVAEP1-G025286"
0,1.44230548766606,0.886,0.189,0,"Ec_BasalDisk","HVAEP1-G020288"
0,1.43732388099448,0.726,0.08,0,"Ec_BasalDisk","HVAEP1-G024408"
0,1.43152516881148,0.747,0.139,0,"Ec_BasalDisk","HVAEP1-G026864"
0,1.43028582228427,0.774,0.146,0,"Ec_BasalDisk","HVAEP1-G001540"
0,1.40776832912882,0.65,0.002,0,"Ec_BasalDisk","HVAEP1-G012976"
0,1.39993688605257,0.707,0.03,0,"Ec_BasalDisk","HVAEP1-G011620"
0,1.38777668953097,0.707,0.116,0,"Ec_BasalDisk","HVAEP1-G003899"
0,1.36558898631596,0.643,0.05,0,"Ec_BasalDisk","HVAEP1-G001722"
0,1.34173725718952,0.504,0.05,0,"Ec_BasalDisk","HVAEP1-G006694"
0,1.34141412586959,0.711,0.05,0,"Ec_BasalDisk","HVAEP1-G003376"
0,1.32391756261733,0.627,0.015,0,"Ec_BasalDisk","HVAEP1-G004025"
0,1.32135622707648,0.804,0.146,0,"Ec_BasalDisk","HVAEP1-G009910"
0,1.31447752437123,0.624,0.002,0,"Ec_BasalDisk","HVAEP1-G014954"
0,1.30512185143914,0.62,0.065,0,"Ec_BasalDisk","HVAEP1-G024024"
0,1.30229327315777,0.703,0.036,0,"Ec_BasalDisk","HVAEP1-G001377"
