"","conReal","conShuf","allReal","allShuf","realOds","shufOdds","lor","name","fam","idx","pval","fdr","res"
"MA0095.2",440,34,3741,1408,0.133292941532869,0.024745269286754,1.68391494322525,"YY1","More than 3 adjacent zinc finger factors",1,1.07721374776137e-21,1.61582062164205e-20,"enriched"
"MA0521.1",825,95,4062,2004,0.254865616311399,0.0497642744892614,1.63343906453364,"Tcf12","E2A-related factors",2,2.64347151852739e-44,1.11025803778151e-41,"enriched"
"MA1489.1",435,25,3218,825,0.156306144448437,0.03125,1.60979717236252,"FOXN3","Forkhead box (FOX) factors",3,1.23846118535729e-14,8.89151620256514e-14,"enriched"
"MA1109.1",409,58,3285,2040,0.14221140472879,0.029263370332997,1.58097814154538,"NEUROD1","Tal-related factors",4,1.10751472895742e-28,5.16840206846797e-27,"enriched"
"MA0762.1",465,106,3346,3293,0.161402290871225,0.0332601192343897,1.5795408908081,"ETV2","Ets-related factors",5,7.60193349203856e-46,6.38562413331239e-43,"enriched"
"MA0641.1",353,39,3390,1528,0.116233124794205,0.0261920752182673,1.49014097844191,"ELF4","Ets-related factors",6,1.85026144584692e-18,2.15863835348807e-17,"enriched"
"MA0764.2",284,48,2530,1719,0.126447016918967,0.0287253141831239,1.48204462055032,"ETV4","Ets-related factors",7,1.22917641908923e-20,1.63890189211898e-19,"enriched"
"MA1558.1",448,64,3280,1791,0.15819209039548,0.0370584829183555,1.45131277238838,"SNAI1","More than 3 adjacent zinc finger factors",8,2.53739341717472e-25,6.45881960735382e-24,"enriched"
"MA0545.1",565,77,4547,2214,0.141888498242089,0.0360318203088442,1.37063907998776,"hlh-1","",9,2.59892336197149e-27,9.0962317669002e-26,"enriched"
"MA1483.1",454,79,3715,2296,0.139221097822754,0.0356337392873252,1.36277037940132,"ELF2","Ets-related factors",10,9.21174304075706e-27,2.86587561267997e-25,"enriched"
"MA0205.2",206,130,3255,7641,0.0675631354542473,0.0173079483424311,1.36189666303176,"Trl","",11,2.09688083500129e-34,2.20172487675135e-32,"enriched"
"MA1638.1",398,101,2773,2422,0.167578947368421,0.043515725980181,1.34833217824887,"HAND2","Tal-related factors",12,1.56682473385916e-29,8.2258298527606e-28,"enriched"
"MA1100.2",462,88,3245,2103,0.16600790513834,0.0436724565756824,1.33531778945842,"ASCL1","MyoD / ASC-related factors",13,7.14091912772596e-27,2.39934882691592e-25,"enriched"
"MA0474.2",515,93,3545,2154,0.16996699669967,0.0451237263464338,1.32619608989752,"ERG","Ets-related factors",14,5.45578082575625e-28,2.1823123303025e-26,"enriched"
"MA0543.1",262,38,4504,2291,0.0617633191890618,0.0168664003550821,1.29798614934233,"eor-1","",15,4.87118046040877e-14,3.32665982662062e-13,"enriched"
"MA0473.3",281,46,3368,1882,0.0910268869452543,0.0250544662309368,1.29010281952293,"ELF1","Ets-related factors",16,1.524612318775e-15,1.24337315317573e-14,"enriched"
"MA1700.1",443,47,6386,2290,0.0745414773683325,0.0209540793580027,1.26902236748862,"Clamp","",17,1.5908598918905e-16,1.45252424911741e-15,"enriched"
"MA1618.1",606,165,3542,2992,0.206403269754768,0.0583657587548638,1.26310248012792,"Ptf1a","Tal-related factors",18,5.03735635307978e-38,8.46275867317404e-36,"enriched"
"MA0048.2",509,111,3107,2101,0.195919938414165,0.0557788944723618,1.25631053572618,"NHLH1","Tal-related factors",19,2.22486698108805e-27,8.12560114832156e-26,"enriched"
"MA0636.1",385,96,2819,2192,0.158175842235004,0.0458015267175573,1.23938991471341,"BHLHE41","Hairy-related factors",20,8.39411286482082e-24,1.76276370161237e-22,"enriched"
"MA0820.1",610,186,3281,2997,0.228378884312991,0.0661686232657417,1.23879964125073,"FIGLA","Tal-related factors",21,1.53296660683195e-38,3.21922987434709e-36,"enriched"
"MA1508.1",282,156,3115,5555,0.0995411224849982,0.0288942396740137,1.23692859407635,"IKZF1","Factors with multiple dispersed zinc fingers",22,5.47929897076413e-33,5.11401237271318e-31,"enriched"
"MA0091.1",458,130,3060,2665,0.176018447348194,0.0512820512820513,1.23324799061144,"TAL1::TCF3","Tal-related factors, E2A-related factors",23,1.05554060160464e-29,5.911027368986e-28,"enriched"
"MA0058.3",565,103,3631,2015,0.184279191128506,0.0538702928870293,1.22987277709639,"MAX","bHLH-ZIP factors",24,1.47768164876566e-25,3.87891432800985e-24,"enriched"
"MA0047.3",621,120,5638,3431,0.123779150886984,0.0362428269405014,1.22825745221443,"FOXA2","Forkhead box (FOX) factors",25,7.51867097757682e-32,4.85821817012656e-30,"enriched"
"MA0156.2",512,144,3669,3163,0.162179284130504,0.0476979132162968,1.22381476661235,"FEV","Ets-related factors",26,6.25668749525575e-33,5.25561749601483e-31,"enriched"
"MA0464.2",459,118,3206,2515,0.167091372406261,0.0492282019190655,1.22207413393399,"BHLHE40","Hairy-related factors",27,1.63551835297968e-27,6.24470643864967e-26,"enriched"
"MA0760.1",407,79,3297,1961,0.14083044982699,0.0419766206163656,1.21044387201442,"ERF","Ets-related factors",28,2.86569480960267e-20,3.6472479394943e-19,"enriched"
"MA0664.1",496,95,3323,1911,0.175451008135833,0.0523127753303965,1.21011923659203,"MLXIPL","bHLH-ZIP factors",29,5.86472302018274e-23,1.09474829710078e-21,"enriched"
"MA1144.1",265,65,2231,1677,0.134791454730417,0.0403225806451613,1.20681717845005,"FOSL2::JUND","Fos-related factors, Jun-related factors",30,3.02182598901799e-16,2.56397356643951e-15,"enriched"
"MA1099.2",673,120,4719,2525,0.166337123084528,0.0498960498960499,1.20407475167485,"HES1","Hairy-related factors",31,4.96906190719715e-29,2.45530117767389e-27,"enriched"
"MA0613.1",506,205,4016,4940,0.144159544159544,0.0432946145723337,1.20289237930932,"FOXG1","Forkhead box (FOX) factors",32,1.51469496932239e-41,4.24114591410269e-39,"enriched"
"MA1493.1",447,88,3940,2373,0.127970226166619,0.0385120350109409,1.20082683865684,"HES6","Hairy-related factors",33,2.07831060303972e-22,3.56281817663953e-21,"enriched"
"MA0806.1",233,56,2611,1944,0.0979814970563499,0.0296610169491525,1.19494503228527,"TBX4","TBX2-related factors",34,9.92756981377517e-15,7.18892986514754e-14,"enriched"
"MA1642.1",384,97,3139,2387,0.139382940108893,0.0423580786026201,1.19106594904561,"NEUROG2(var.2)","Tal-related factors",35,1.25970702666924e-22,2.25139128170672e-21,"enriched"
"MA0712.2",145,33,1890,1335,0.0830945558739255,0.0253456221198157,1.18737316908608,"OTX2","Paired-related HD factors",36,2.28648723188388e-09,9.95155064654123e-09,"enriched"
"MA0645.1",375,70,3530,1999,0.118858954041204,0.0362882322446864,1.18644402185147,"ETV6","Ets-related factors",37,4.72657763694566e-18,5.02572812029665e-17,"enriched"
"MA0871.2",763,145,4744,2622,0.191660386837478,0.0585385547032701,1.18603939535292,"TFEC","bHLH-ZIP factors",38,4.36761233489028e-32,3.05732863442319e-30,"enriched"
"MA0086.2",390,103,3212,2538,0.138199858256556,0.042299794661191,1.18391865399799,"sna","More than 3 adjacent zinc finger factors",39,1.87962977214238e-23,3.75925954428477e-22,"enriched"
"MA0488.1",388,108,4107,3464,0.104329120731379,0.032181168057211,1.17616908616108,"JUN","Jun-related factors",40,3.42791471549585e-25,8.46896576769562e-24,"enriched"
"MA1606.1",624,99,5656,2687,0.124006359300477,0.0382534775888717,1.17609837547535,"Foxf1","Forkhead box (FOX) factors",41,6.45173531147225e-25,1.54841647475334e-23,"enriched"
"MA0759.1",440,75,3609,1824,0.138845061533607,0.0428816466552316,1.17491472870368,"ELK3","Ets-related factors",42,1.43761840304988e-18,1.71952460271804e-17,"enriched"
"MA0819.1",410,124,3141,2791,0.150128158183815,0.0464941882264717,1.17216199680163,"CLOCK","PAS domain factors",43,4.84574494258877e-26,1.45372348277663e-24,"enriched"
"MA0779.1",412,97,3496,2404,0.133592736705577,0.0420459471174686,1.15603289433668,"PAX1","Paired domain only",44,9.96968092055611e-22,1.52264217695766e-20,"enriched"
"MA1494.1",164,43,2750,2191,0.0634184068058778,0.0200186219739292,1.15309120842759,"HNF4A(var.2)","RXR-related receptors (NR2)",45,3.31711263002183e-11,1.74148413076146e-10,"enriched"
"MA1103.2",623,90,5499,2315,0.127768662838392,0.0404494382022472,1.15016855245637,"FOXK2","Forkhead box (FOX) factors",46,6.89935999720147e-22,1.09348347125457e-20,"enriched"
"MA0103.3",533,137,3990,2943,0.154179924790281,0.048823948681397,1.1498993190785,"ZEB1","HD-ZF factors",47,2.54603539713245e-28,1.06933486679563e-26,"enriched"
"MA0692.1",424,110,2972,2189,0.166405023547881,0.0529100529100529,1.1458313606055,"TFEB","bHLH-ZIP factors",48,2.14348832406433e-22,3.60106038442807e-21,"enriched"
"MA0686.1",320,72,2871,1876,0.125441003528028,0.0399113082039911,1.14517585925847,"SPDEF","Ets-related factors",49,1.68934520408879e-16,1.52586018433826e-15,"enriched"
"MA0847.2",514,86,5599,2750,0.101081612586037,0.0322822822822823,1.14140969237928,"FOXD2","Forkhead box (FOX) factors",50,4.7180852339361e-21,6.60531932751055e-20,"enriched"
"MA0816.1",586,124,3760,2180,0.184625078764965,0.0603112840466926,1.11880794946068,"Ascl2","MyoD / ASC-related factors",51,3.73288187750122e-24,8.04005327461801e-23,"enriched"
"MA1461.1",473,115,3973,2683,0.135142857142857,0.0447819314641745,1.10452767746103,"sv","",52,6.05112197392557e-23,1.10498749089076e-21,"enriched"
"MA1484.1",463,68,3395,1366,0.157912687585266,0.0523882896764253,1.10335918316762,"ETS2","Ets-related factors",53,8.47285411330567e-15,6.24315566243576e-14,"enriched"
"MA1472.1",474,109,3117,1940,0.179341657207718,0.0595303113052977,1.10280706953615,"BHLHA15(var.2)","Tal-related factors",54,1.35902883639398e-20,1.7837253477671e-19,"enriched"
"MA0098.3",481,81,3426,1570,0.163327674023769,0.0543989254533244,1.09941405203164,"ETS1","Ets-related factors",55,8.86801151783982e-17,8.36980862357916e-16,"enriched"
"MA0691.1",334,114,2168,1993,0.182115594329335,0.0606705694518361,1.09918289117926,"TFAP4","bHLH-ZIP factors",56,1.9943485448877e-19,2.46360702603775e-18,"enriched"
"MA0157.2",647,84,5196,1847,0.142229061332161,0.0476460578559274,1.09363897048545,"FOXO3","Forkhead box (FOX) factors",57,2.5414845292099e-18,2.84646267271509e-17,"enriched"
"MA0499.2",624,186,4854,3926,0.147517730496454,0.0497326203208556,1.08728731302448,"MYOD1","MyoD / ASC-related factors",58,8.04748828986613e-33,6.14535469407959e-31,"enriched"
"MA0475.2",514,151,3522,2761,0.170877659574468,0.0578544061302682,1.08301824388725,"FLI1","Ets-related factors",59,7.48728183939244e-26,2.09643891502988e-24,"enriched"
"MA1418.1",265,67,4169,2982,0.0678790983606557,0.0229845626072041,1.08290535784687,"IRF3","Interferon-regulatory factors  ",60,9.64283784865115e-15,7.0434641677104e-14,"enriched"
"MA0783.1",177,52,2235,1823,0.0860058309037901,0.0293619424054207,1.07471573538124,"PKNOX2","TALE-type homeo domain factors",61,6.78824482090324e-11,3.41444649674175e-10,"enriched"
"MA0669.1",208,77,1927,1928,0.121000581733566,0.0415991356023771,1.06771596503828,"NEUROG2","Tal-related factors",62,1.05026846116767e-13,6.89238677641286e-13,"enriched"
"MA0846.1",699,122,6672,3134,0.117026619789051,0.0405046480743692,1.06098469368803,"FOXC2","Forkhead box (FOX) factors",63,2.68896292314993e-24,5.9440233038051e-23,"enriched"
"MA0832.1",367,108,3311,2558,0.124660326086957,0.0440816326530612,1.03954944462036,"Tcf21","Tal-related factors",64,1.30031830365772e-18,1.58299619575722e-17,"enriched"
"MA0614.1",692,148,5647,3141,0.139656912209889,0.0494487136652188,1.03825274294217,"Foxj2","Forkhead box (FOX) factors",65,5.46167287425352e-26,1.58200179805964e-24,"enriched"
"MA1620.1",515,175,3408,2945,0.178015900449361,0.0631768953068592,1.03593422094547,"Ptf1a(var.3)","Tal-related factors",66,8.33004460490383e-26,2.25717337681265e-24,"enriched"
"MA0500.2",339,91,3070,2144,0.124130355181252,0.0443253774963468,1.02977489640883,"MYOG","MyoD / ASC-related factors",67,6.37563737921926e-16,5.35553539854417e-15,"enriched"
"MA0443.1",550,109,6110,3192,0.0989208633093525,0.0353551735322738,1.0288754366389,"btd","Other factors with up to three adjacent zinc fingers",68,1.11134471276276e-20,1.53037632577166e-19,"enriched"
"MA0059.1",765,170,4860,2715,0.186813186813187,0.0667976424361493,1.02844132947373,"MAX::MYC","bHLH-ZIP factors, bHLH-ZIP factors",69,7.69551638956527e-27,2.48624375662878e-25,"enriched"
"MA0546.1",607,112,5934,2843,0.113947813027971,0.0410106188209447,1.02190953432111,"pha-4","Forkhead box (FOX) factors",70,1.15825849594482e-20,1.56925344611879e-19,"enriched"
"MA1138.1",234,118,2023,2617,0.130799329234209,0.047218887555022,1.01887033821827,"FOSL2::JUNB","Fos-related factors, Jun-related factors",71,1.46767359138467e-16,1.35477562281662e-15,"enriched"
"MA1644.1",501,156,3304,2545,0.178737067427756,0.0652992884051905,1.00693468999635,"NFYC","",72,2.78918562237475e-22,4.59395278979371e-21,"enriched"
"MA0690.1",210,62,2661,2040,0.0856793145654835,0.0313447927199191,1.00556327432692,"TBX21","TBrain-related factors",73,3.49502576125025e-11,1.81223557990753e-10,"enriched"
"MA0801.1",233,49,2813,1519,0.0903100775193798,0.0333333333333333,0.996691157312193,"MGA","TBX6-related factors",74,1.83463916808732e-09,8.24115989942965e-09,"enriched"
"MA0470.2",536,107,4668,2310,0.1297192642788,0.0485701316386745,0.98236384317171,"E2F4","E2F-related factors",75,1.34616210048069e-17,1.39601995605405e-16,"enriched"
"MA1704.1",843,136,6811,2698,0.141253351206434,0.0530835284933646,0.978688412838886,"zip-8","",76,3.7452528373297e-22,6.05002381414797e-21,"enriched"
"MA0541.1",855,127,7241,2650,0.133886626996555,0.0503369005152596,0.978254957844499,"efl-1","E2F-related factors",77,3.06775413840706e-21,4.44295426941712e-20,"enriched"
"MA1513.1",939,238,8308,5184,0.12742570226625,0.0481196926809543,0.97384196285115,"KLF15","Three-zinc finger Kruppel-related factors",78,3.55148295492182e-35,4.26177954590618e-33,"enriched"
"MA0791.1",230,104,2797,3172,0.0895987534086482,0.0338983050847458,0.971976391397829,"POU4F3","POU domain factors",79,7.46018503484697e-15,5.54562427369155e-14,"enriched"
"MA1629.1",504,84,4960,2045,0.11310592459605,0.042835288118307,0.970962513817281,"Zic2","More than 3 adjacent zinc fingers::More than 3 adjacent zinc fingers",80,1.56631399265185e-14,1.10075044792738e-13,"enriched"
"MA1123.2",435,121,3126,2079,0.16164994425864,0.0617977528089888,0.961566157855493,"TWIST1","Tal-related factors",81,7.38395783247179e-17,7.12933859686932e-16,"enriched"
"MA0471.2",590,55,8192,1905,0.0776111549592213,0.0297297297297297,0.959563620190471,"E2F6","E2F-related factors",82,6.18115423271456e-11,3.12781298522906e-10,"enriched"
"MA0060.3",517,208,3446,3274,0.176510754523728,0.0678408349641226,0.956217507411137,"NFYA","NFY",83,1.4489222419313e-24,3.28944508978998e-23,"enriched"
"MA0781.1",465,135,3568,2465,0.14985497905253,0.0579399141630901,0.950261509260293,"PAX9","Paired domain only",84,2.30958483395168e-18,2.62169089259379e-17,"enriched"
"MA0136.2",414,195,3550,4006,0.132015306122449,0.0511676725268958,0.947809934665129,"ELF5","Ets-related factors",85,3.03031830573793e-23,5.91969157399968e-22,"enriched"
"MA0851.1",576,166,5571,3860,0.115315315315315,0.044937736870601,0.94239234201588,"Foxj3","Forkhead box (FOX) factors",86,3.62812024631187e-23,6.92641137932265e-22,"enriched"
"MA0616.2",625,162,4533,2742,0.15992835209826,0.0627906976744186,0.934918979257007,"HES2","Hairy-related factors",87,3.1717555533635e-21,4.5157197708904e-20,"enriched"
"MA0490.2",149,92,1510,2232,0.109478324761205,0.0429906542056075,0.93474383426085,"JUNB","Jun-related factors",88,8.77087530165623e-11,4.35948831561612e-10,"enriched"
"MA1559.1",448,142,3718,2770,0.137003058103976,0.0540334855403349,0.930399290526926,"SNAI3","More than 3 adjacent zinc finger factors",89,1.97166984695273e-18,2.26877078279493e-17,"enriched"
"MA0920.1",712,39,5883,756,0.137690968864823,0.0543933054393305,0.928770733485728,"fkh-2","Forkhead box (FOX) factors",90,2.88984404900267e-07,1.01567740634403e-06,"enriched"
"MA0667.1",344,74,3472,1775,0.10997442455243,0.0435038212815991,0.927399054899889,"MYF6","MyoD / ASC-related factors",91,1.91159133929483e-11,1.02931841346645e-10,"enriched"
"MA1601.1",313,96,3319,2422,0.104125083166999,0.0412725709372313,0.925394761838007,"ZNF75D","More than 3 adjacent zinc finger factors",92,1.52401716592358e-13,9.77232381202905e-13,"enriched"
"MA0622.1",442,89,3510,1642,0.144067796610169,0.0573084352865422,0.921836173007099,"Mlxip","bHLH-ZIP factors",93,8.43331830242677e-13,5.02410452059467e-12,"enriched"
"MA0828.1",324,141,2607,2635,0.1419185282523,0.0565356856455493,0.920381105124347,"SREBF2(var.2)","bHLH-ZIP factors",94,2.43662921447814e-16,2.13205056266838e-15,"enriched"
"MA1628.1",430,66,4800,1748,0.0983981693363844,0.0392390011890606,0.91935101910444,"Zic1::Zic2","More than 3 adjacent zinc fingers::More than 3 adjacent zinc fingers",95,6.96418946343846e-11,3.48209473171923e-10,"enriched"
"MA0509.2",536,129,4729,2657,0.127832101120916,0.0510284810126582,0.918333764805115,"RFX1","RFX-related factors",96,1.09505887155471e-17,1.14981181513245e-16,"enriched"
"MA0698.1",439,112,3475,2052,0.144598155467721,0.0577319587628866,0.91814765532193,"ZBTB18","More than 3 adjacent zinc finger factors",97,5.85355456550806e-15,4.46998712275161e-14,"enriched"
"MA1565.1",307,137,3538,3747,0.0950170225936243,0.0379501385041551,0.917782907261501,"TBX18","TBX1-related factors",98,5.72267722300632e-17,5.58959170619222e-16,"enriched"
"MA1116.1",208,66,2153,1606,0.10694087403599,0.0428571428571429,0.914403777030021,"RBPJ","CSL-related factors",99,2.20569082227051e-09,9.64989734743348e-09,"enriched"
"MA0632.2",1006,182,7041,2900,0.166694283347142,0.0669610007358352,0.912051124762346,"TCFL5","PAS domain factors",100,9.2028447628226e-24,1.88546087823683e-22,"enriched"
"MA0763.1",342,159,3193,3458,0.119957909505437,0.0481964231585329,0.911856117158283,"ETV3","Ets-related factors",101,3.36183723885109e-18,3.71571484294068e-17,"enriched"
"MA0028.2",421,145,3776,2990,0.12548435171386,0.0509666080843585,0.901010388416456,"ELK1","Ets-related factors",102,1.39311883830989e-17,1.42709734656135e-16,"enriched"
"MA1632.1",509,112,4836,2446,0.117633464293968,0.0479862896315338,0.896658217877045,"ATF2","Jun-related factors",103,2.62375218086399e-15,2.02197415773005e-14,"enriched"
"MA0831.2",710,202,4258,2668,0.20011273957159,0.0819140308191403,0.893210612928976,"TFE3","bHLH-ZIP factors",104,7.17835068542535e-22,1.11663232884394e-20,"enriched"
"MA0492.1",355,122,3848,3052,0.101631835098769,0.0416382252559727,0.89233820194644,"JUND(var.2)","Jun-related factors",105,2.55478438640501e-15,1.98705452275945e-14,"enriched"
"MA0522.3",742,209,5931,3772,0.142994796685296,0.0586584339040135,0.891076877440666,"TCF3","E2A-related factors",106,1.25461967634464e-24,2.92744591147083e-23,"enriched"
"MA1127.1",803,124,6677,2325,0.136704119850187,0.0563380281690141,0.886449118109621,"FOSB::JUN","Fos-related factors, Jun-related factors",107,7.82639175746609e-17,7.47064667758127e-16,"enriched"
"MA1537.1",138,35,2913,1742,0.0497297297297297,0.0205038078500293,0.885992320281697,"NR2F1(var.2)","RXR-related receptors (NR2)",108,6.08659274657121e-06,1.7939431253052e-05,"enriched"
"MA0803.1",245,89,2761,2302,0.0973767885532591,0.0402169001355626,0.884300563043306,"TBX15","TBX1-related factors",109,2.93749953207561e-11,1.57165580060096e-10,"enriched"
