"","ID","clust"
"abd-A_MA0206.1","abd-A_MA0206.1",1
"Abd-B_MA0165.1","Abd-B_MA0165.1",1
"achi_MA0207.1","achi_MA0207.1",2
"al_MA0208.1","al_MA0208.1",1
"Antp_MA0166.1","Antp_MA0166.1",1
"ap_MA0209.1","ap_MA0209.1",1
"ara_MA0210.1","ara_MA0210.1",3
"Awh_MA0167.1","Awh_MA0167.1",1
"B-H1_MA0168.1","B-H1_MA0168.1",1
"B-H2_MA0169.1","B-H2_MA0169.1",1
"bap_MA0211.1","bap_MA0211.1",4
"bcd_MA0212.1","bcd_MA0212.1",5
"BEAF-32_MA0529.2","BEAF-32_MA0529.2",6
"Bgb::run_MA0242.1","Bgb::run_MA0242.1",7
"br_MA0010.1","br_MA0010.1",8
"br(var.2)_MA0011.1","br(var.2)_MA0011.1",9
"br(var.3)_MA0012.1","br(var.3)_MA0012.1",10
"br(var.4)_MA0013.1","br(var.4)_MA0013.1",3
"brk_MA0213.1","brk_MA0213.1",11
"bsh_MA0214.1","bsh_MA0214.1",1
"btd_MA0443.1","btd_MA0443.1",12
"btn_MA0215.1","btn_MA0215.1",1
"C15_MA0170.1","C15_MA0170.1",1
"cad_MA0216.2","cad_MA0216.2",13
"caup_MA0217.1","caup_MA0217.1",3
"Cf2_MA0015.1","Cf2_MA0015.1",14
"CG11085_MA0171.1","CG11085_MA0171.1",1
"CG11294_MA0172.1","CG11294_MA0172.1",1
"CG11617_MA0173.1","CG11617_MA0173.1",3
"CG15696-RA_MA0176.1","CG15696-RA_MA0176.1",1
"CG18599_MA0177.1","CG18599_MA0177.1",1
"CG32105_MA0178.1","CG32105_MA0178.1",1
"CG32532_MA0179.1","CG32532_MA0179.1",1
"CG34031_MA0444.1","CG34031_MA0444.1",1
"CG4328-RA_MA0182.1","CG4328-RA_MA0182.1",1
"CG9876_MA0184.1","CG9876_MA0184.1",1
"Clamp_MA1700.1","Clamp_MA1700.1",15
"cnc::maf-S_MA0530.1","cnc::maf-S_MA0530.1",16
"ct_MA0218.1","ct_MA0218.1",17
"CTCF_MA0531.1","CTCF_MA0531.1",18
"D_MA0445.1","D_MA0445.1",19
"Dbx_MA0174.1","Dbx_MA0174.1",1
"Deaf1_MA0185.1","Deaf1_MA0185.1",20
"Dfd_MA0186.1","Dfd_MA0186.1",1
"dl_MA0022.1","dl_MA0022.1",21
"dl(var.2)_MA0023.1","dl(var.2)_MA0023.1",21
