"","ID","clust","jID","enClust","bClust"
"RUNX1_MA0002.2","RUNX1_MA0002.2",7,"MA0002.2",1,"7_1"
"TFAP2A_MA0003.4","TFAP2A_MA0003.4",140,"MA0003.4",1,"140_1"
"Arnt_MA0004.1","Arnt_MA0004.1",28,"MA0004.1",2,"28_2"
"Ahr::Arnt_MA0006.1","Ahr::Arnt_MA0006.1",75,"MA0006.1",3,"75_3"
"TBXT_MA0009.2","TBXT_MA0009.2",139,"MA0009.2",1,"139_1"
"br(var.2)_MA0011.1","br(var.2)_MA0011.1",9,"MA0011.1",4,"9_4"
"br(var.4)_MA0013.1","br(var.4)_MA0013.1",3,"MA0013.1",5,"3_5"
"PAX5_MA0014.3","PAX5_MA0014.3",54,"MA0014.3",3,"54_3"
"NR2F1_MA0017.2","NR2F1_MA0017.2",71,"MA0017.2",6,"71_6"
"CREB1_MA0018.4","CREB1_MA0018.4",58,"MA0018.4",7,"58_7"
"dl_MA0022.1","dl_MA0022.1",21,"MA0022.1",1,"21_1"
"E2F1_MA0024.3","E2F1_MA0024.3",11,"MA0024.3",8,"11_8"
"NFIL3_MA0025.2","NFIL3_MA0025.2",42,"MA0025.2",9,"42_9"
"Eip74EF_MA0026.1","Eip74EF_MA0026.1",24,"MA0026.1",10,"24_10"
"ELK1_MA0028.2","ELK1_MA0028.2",24,"MA0028.2",10,"24_10"
"FOXF2_MA0030.1","FOXF2_MA0030.1",3,"MA0030.1",11,"3_11"
"FOXD1_MA0031.1","FOXD1_MA0031.1",3,"MA0031.1",12,"3_12"
"FOXC1_MA0032.2","FOXC1_MA0032.2",3,"MA0032.2",13,"3_13"
"GATA2_MA0036.3","GATA2_MA0036.3",66,"MA0036.3",14,"66_14"
"GFI1_MA0038.2","GFI1_MA0038.2",90,"MA0038.2",15,"90_15"
"KLF4_MA0039.4","KLF4_MA0039.4",12,"MA0039.4",16,"12_16"
"Foxd3_MA0041.1","Foxd3_MA0041.1",3,"MA0041.1",13,"3_13"
"HLF_MA0043.3","HLF_MA0043.3",42,"MA0043.3",9,"42_9"
"HNF1A_MA0046.2","HNF1A_MA0046.2",95,"MA0046.2",17,"95_17"
"FOXA2_MA0047.3","FOXA2_MA0047.3",3,"MA0047.3",18,"3_18"
"NHLH1_MA0048.2","NHLH1_MA0048.2",46,"MA0048.2",19,"46_19"
"hb_MA0049.1","hb_MA0049.1",29,"MA0049.1",20,"29_20"
"IRF2_MA0051.1","IRF2_MA0051.1",59,"MA0051.1",1,"59_1"
"MEF2A_MA0052.4","MEF2A_MA0052.4",9,"MA0052.4",21,"9_21"
"MAX_MA0058.3","MAX_MA0058.3",28,"MA0058.3",2,"28_2"
"MAX::MYC_MA0059.1","MAX::MYC_MA0059.1",28,"MA0059.1",2,"28_2"
"NFYA_MA0060.3","NFYA_MA0060.3",37,"MA0060.3",8,"37_8"
"GABPA_MA0062.3","GABPA_MA0062.3",24,"MA0062.3",22,"24_22"
"NKX2-5_MA0063.2","NKX2-5_MA0063.2",57,"MA0063.2",23,"57_23"
"Pparg::Rxra_MA0065.2","Pparg::Rxra_MA0065.2",114,"MA0065.2",24,"114_24"
"Pax2_MA0067.1","Pax2_MA0067.1",54,"MA0067.1",25,"54_25"
"PAX6_MA0069.1","PAX6_MA0069.1",50,"MA0069.1",3,"50_3"
"RORA_MA0071.1","RORA_MA0071.1",31,"MA0071.1",1,"31_1"
"RREB1_MA0073.1","RREB1_MA0073.1",131,"MA0073.1",1,"131_1"
"ELK4_MA0076.2","ELK4_MA0076.2",24,"MA0076.2",10,"24_10"
"SOX9_MA0077.1","SOX9_MA0077.1",19,"MA0077.1",26,"19_26"
"Sox17_MA0078.1","Sox17_MA0078.1",19,"MA0078.1",27,"19_27"
"SP1_MA0079.4","SP1_MA0079.4",12,"MA0079.4",28,"12_28"
