"","Interstitial SCs","Female Germ Cells","Male Germ Cells","Early NBs","Early/Mid NBs","Isorhiza NBs 1","Isorhiza NBs 2","Early Desmoneme NBs","Mid/Late Desmoneme NBs","Late Desmoneme NBs","Mid Stenotele NBs","Mid/Late Stenotele NBs","Late Stenotele NBs","Early Maturing NCs","Late Iso NCs","Mid Nematocytes","Mid Desmoneme NCs","Late Desmoneme NCs","Late Stenotele NCs","Neurogenesis","Ec1 Neurons","Ec1/5 Neurons","Ec2 Neurons","Ec3 Neurons","Ec4 Neurons","Ec5 Neurons","En1 Neurons","En2 Neurons","En3 Neurons","Mucous GCs","Granular Mucous GCs Tip","Granular Mucous GCs","Zymogen GCs 1","Zymogen GCs 2","Zymogen GCs 3","Zymogen GCs 4","Spumous Mucous GCs Tip","Spumous Mucous GCs","Ecto Basal Disk","Ecto Aboral SCs","Ecto SCs 1","Ecto SCs 2","Ecto Somatic Gonad","Ecto Head","Ecto Tentacle","Ecto Tentacle Tip","Epithelial Head Organizer","Endo Foot","Endo Mid SCs","Endo SCs","Endo Head","Endo Tentacle","Endo Tentacle Tip"
"MA0013.1 br(var.4)",0,0,0,0,0,0,0,0,0,0.767948346130512,0,0,0.727124012999265,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA0014.3 PAX5",0,0,0,0,0.977116999607483,1,0.939367068760047,0.999019636680769,0.999939037791177,0.920208470483587,0,0.94911170825085,0,0,0,0,0,0,0,0.862399587427943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA0018.4 CREB1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.673838023633014,1,0.642781518304228,0,0,0,0,0,0.674060471557617,0.705645890881242,0,0,0,0,0.707247929200524
"MA0022.1 dl",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.810476895241724,0,0,0,0,0,0
"MA0024.3 E2F1",0,0.126285108285193,0,0.156208509935015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17797043420701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122398624791996,0,0,0,0,0,0
"MA0028.2 ELK1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98162936322072,0,0,0,0,0,0.887132208333837,0.969275210436836,0.873421589515381,0.918324138844558,0,0,0.835457049524745,1,0.983822931214768
"MA0030.1 FOXF2",0,0,0,0,0,0,0,0,0,0.896476228848302,0,0.941458865051756,0.919704294026968,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA0031.1 FOXD1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.657047402185724,0.641360336992647,0,0
"MA0032.2 FOXC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.630034292858572,0.691176429993637,1,0.699321211496167,0.649759458456686,0.726191874786078,0.723284353386787
"MA0039.4 KLF4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
