1,Ec1/5 Neurons
2,Ecto Somatic Gonad
3,Isorhiza NBs 1
4,Mucous GCs
5,Zymogen GCs 1
6,Endo Aboral SCs
7,Mid Stenotele NCs
8,Mid/Late Desmoneme NBs
9,Interstitial SCs
10,Early/Mid NBs
11,Ecto SCs 1
12,Late Desmoneme NCs
13,Endo Tentacle Tip
14,Ecto Basal Disk
15,Late Stenotele NCs
16,Ec2 Neurons
17,En2 Neurons
18,Male Germ Cells
19,Mid/Late Stenotele NBs
20,Epithelial Head Organizer
21,Neurogenesis
22,Female Germ Cells
23,En1 Neurons
24,Ecto Tentacle Tip
25,Granular Mucous GCs
26,Isorhiza NBs 2
27,Granular Mucous GCs Tip
28,Spumous Mucous GCs Tip
29,Ec4 Neurons
30,Ec5 Neurons
31,Endo Foot
32,Late Stenotele NBs
33,Zymogen GCs 2
34,Mid Stenotele NBs
35,Mid Nematocytes
36,Spumous Mucous GCs
37,Ecto Head
38,Early Maturing NCs
39,Ec3 Neurons
40,Zymogen GCs 3
41,Ecto Tentacle
42,Ec1 Neurons
43,Late Desmoneme NBs
44,Early Desmoneme NBs
45,Endo Head
46,Endo SCs
47,Ecto Aboral SCs
48,Early NBs
49,Zymogen GCs 4
50,En3 Neurons
51,Ecto SCs 2
52,Endo Mid SCs
53,Endo Tentacle
54,Late Iso NCs
55,Mid Desmoneme NCs
56,Interstitial Batch Effect
