"","name"
"1","Exumbrella Epidermis"
"3","Striated Muscle of Velum"
"4","GastroDigestive-B"
"5","Tentacle Bulb Distal Gastroderm"
"2","Manubrium Epidermis"
"12","neuro_5"
"13","neuro_6"
"14","neuro_8"
"11","neuro_2"
"16","neuro_4"
"15","neuro_3"
"17","neuro_9"
"22","neuro_0"
"10","i-Cells"
"6","Early Nematoblasts"
"20","Mid Nematoblasts"
"8","Nematocyte Precursors"
"7","Late Nematoblasts"
"9","Terminal Differentiating Nematocytes"
"21","Mature Nematocytes"
"18","Medium Oocytes"
"19","Gland Cells-A"
"23","Gland Cells-D"
"24","Ec_BasalDisk"
"27","Ec_Peduncle"
"26","Ec_Head"
"28","En_BodyCol/SC"
"30","En_Tentacle"
"29","En_Foot"
"46","I_MaleGC"
"25","Ec_BodyCol/SC"
"34","I_Ec1N"
"36","I_Ec4N"
"35","I_Ec3N"
"37","I_En1N"
"39","I_En3N"
"38","I_En2N"
"47","I_Neuro"
"41","I_GlProgen"
"33","I_EarlyNem"
"43","I_ISC"
"48","I_StenoNB"
"44","I_IsoNB"
"31","I_DesmoNB"
"32","I_DesmoNC"
"45","I_IsoNC"
"49","I_StenoNC"
"40","I_FemGC"
"42","I_GranGl"
"50","I_ZymoGl"
