"","mg11 I-Cells","mg15 Very Early Oocytes","mg10 Small Oocytes","mg9 Nematocyte Precursors","mg33 Early/Mid Nematoblasts","mg3 Late Nematoblasts","mg34 Differentiating Nematocytes","mg12 Terminal Differentiating Nematocytes","mg29 Mature Nematocytes","mg5 Neural Cells A","mg6 Unknown Neural Cells 1","mg23 Unknown Neural Cells 2","mg27 Unknown Neural Cells 3","mg30 Unknown Neural Cells 4","mg32 Unknown Neural Cells 5","mg7 Gland Cells A1","mg19 Gland Cells A2","mg4 Gland Cells B1","mg31 Gland Cells B2","mg14 Gland Cells C1","mg35 Gland Cells C2","mg13 Gland Cells D1","mg37 Gland Cells D2","mg22 Gland Cells E","mg2 GastroDigestive B","mg28 GastroDigestive C","mg36 GastroDigestive D","mg20 GastroDigestive E","mg26 GastroDigestive F","mg17 Striated Muscle","mg25 Radial Smooth Muscles","mg24 Endodermal Plate","mg1 Tentacle Bulb Distal Gastroderm","mg8 Exumbrella Epidermis","mg16 Gonad Epidermis","mg18 Tentacle GFP Cells","mg21 Unknown Epithelial"
"MA1111.1 NR2F2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.762965277777778,0,0,0,0,0,1,0,0,0.902915707047444,0
"MA0643.1 Esrrg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"MA0217.1 caup",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.998413802412905,0,0,0,0
"MA1604.1 Ebf2",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA1125.1 ZNF384",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA1637.1 EBF3",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA0095.2 YY1",1,0.976702274328586,0.964422935963874,0.931290225992806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.908679645498868,0,0,0,0,0,0.917338717405744,0,0,0,0,0,0
"MA1651.1 ZFP42",1,0.934058745807907,0.927746346063178,0.866946763183004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.868852773205766,0,0.850983404717245,0,0,0,0,0,0,0,0,0,0
"MA0187.1 Dll",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.962265134284922,0,0,0,0,0,0
"MA0049.1 hb",0,0.99384696700368,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA0675.1 NKX6-2",0,0,1,0,0.743721386527142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.754868316607907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA0882.1 DLX6",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA1462.1 vfl",1,0.936441216098843,0.938171932346803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA0051.1 IRF2",1,0.928358638141247,0.965441300513764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA0245.1 slou",0,0,1,0,0.663085050971054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA0224.1 exex",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA0250.1 unc-4",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA1460.1 pho",1,0.988125048337152,0.938764338050345,0.966704433078137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.942923921070708,0,0,0,0,0,0,0,0,0,0,0,0
"MA0214.1 bsh",0,0,1,0,0.749546350236436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.807168946400686,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA0179.1 CG32532",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA0652.1 IRF8",0.993917676458107,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA0885.1 Dlx2",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA0677.1 Nr2f6",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA1519.1 LHX5",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA1500.1 HOXB6",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.687587926372046,0,0,0,0,0,0
"MA0226.1 hbn",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA0630.1 SHOX",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.875029618557272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA0154.4 EBF1",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA0893.2 GSX2",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
