1,Tentacle Bulb Distal Gastroderm
2,GastroDigestive B
3,Late Nematoblasts
4,Gland Cells B1
5,Neural Cells A
6,Unknown Neural Cells 1
7,Gland Cells A1
8,Exumbrella Epidermis
9,Nematocyte Precursors
10,Small Oocytes
11,I-Cells
12,Terminal Differentiating Nematocytes
13,Gland Cells D1
14,Gland Cells C1
15,Very Early Oocytes
16,Gonad Epidermis
17,Striated Muscle
18,Tentacle GFP Cells
19,Gland Cells A2
20,GastroDigestive E
21,Unknown Epithelial
22,Gland Cells E
23,Unknown Neural Cells 2
24,Endodermal Plate
25,Radial Smooth Muscles
26,GastroDigestive F
27,Unknown Neural Cells 3
28,GastroDigestive C
29,Mature Nematocytes
30,Unknown Neural Cells 4
31,Gland Cells B2
32,Unknown Neural Cells 5
33,Early/Mid Nematoblasts
34,Differentiating Nematocytes
35,Gland Cells C2
36,GastroDigestive D
37,Gland Cells D2
