"","ZNF384","KLF4","hb","Foxo1","MZF1","GSC2","ceh-48","THAP1","NKX2-2","NKX2-8","NFAT5","PRDM1","HLTF","RUNX1","ELF3","Deaf1","RARB(var.3)","Wt1","Sox3","Dlx1","Kr","ZNF148","EN2","MYF5","ZNF740","hlh-30","GSX1","EMX2","Gmeb1","D","dsc-1","h","NEUROD2","GABPA","HIC2","EGR4","IRF1","MEIS3","BARX1","HOXB6","PITX3","lim-7","Nkx2-5(var.2)","NRF1","Mad","NR4A1","RXRB(var.2)","br","br(var.4)"
"1",0.0141235727032577,0.00756449088937339,0.00752860420205705,0.007572721159333,0.00722257773121739,0.023001303890879,0.00749005569357527,0.0118475999758584,0.0194962623585621,0.0085413550022004,0.0075072440976685,0.0124221918646622,0.0153135436391184,0.00752285154775018,0.0107374780286275,0.0117613618281248,0.0126698650465114,0.00693922922989634,0.00772289329182831,0.0243947644862783,0.00884464982648901,0.00719152863276901,0.0198281690827948,0.00571585118661657,0.00768780334885249,0.00371592629957517,0.00864895233838077,0.00324185640933247,0.00364280718990903,0.00756468565075039,0.00802111991470586,0.00799055154310263,0.00837301729605139,0.00723621449509011,0.00966020546873093,0.0355212638348773,0.0214558835864091,0.00888422745438059,0.00727117953199266,0.0057984487972673,0.00773523895207297,0.0222584713390014,0.00295871023414523,0.00823142653355656,0.00343779585899974,0.0033328924457391,0.00975075438968078,0.0127572776822211,0.00896887474669766
"10",0.0124816698738138,0.00542519180261596,0.0053994541601627,0.00543109448579335,0.00517997444563027,0.0187713490999836,0.00537180748105675,0.00973030991909531,0.0187553082251932,0.0061257908587433,0.00538413486572155,0.00965279648578227,0.0141307893651605,0.00539532840293128,0.0102268779571597,0.00965668753399619,0.0141396326602268,0.00497675918777201,0.00553879672697649,0.0239496912588769,0.00634331145842013,0.00515770628286239,0.0188372988802337,0.00613805115979142,0.00551363050313265,0.00542967071066642,0.00433161594054409,0.00381325824406821,0.00532282987041897,0.00542533148390336,0.00575268245351362,0.00573075906415847,0.00600506041477466,0.00518975462259901,0.00795911412077001,0.0403027167918023,0.0224264084553826,0.00637169621365938,0.00521483126481539,0.00504090490777995,0.00554765093484543,0.0242245003500029,0.00348020540320182,0.00590351266288402,0.00404373351115006,0.00392034007389126,0.0107148151758326,0.0123565294085131,0.00643240456840634
"100",0.00662756420210336,0.00149352259184364,0.00148643717406243,0.00149514756493191,0.0014260157320136,0.00615297591778472,0.00147882621000135,0.00256721004454654,0.00629500776722992,0.00168639328770475,0.0014822198646711,0.00377037211251574,0.00515110025529025,0.00148530137797304,0.00298859920473039,0.0025480064815164,0.00506860637365562,0.00137007179681995,0.00152479734253454,0.0073707454538678,0.0017462753972464,0.0014198854410704,0.0157451192962822,0.00138652121884813,0.00151786923285111,0.00168431639135704,0.00231745182885172,0.000713244935830268,0.00165117372247629,0.00149356104525985,0.00158367879341745,0.00157764341651596,0.00165315692442935,0.00142870815576311,0.00226137785910889,0.0129377289260413,0.00781828367756856,0.00175408954921672,0.00143561160416464,0.00270817881274131,0.00152723485257405,0.0159419462812175,0.000650949587100251,0.00162520144062019,0.000756353822393608,0.000733273889536598,0.00450199446193045,0.00613956339939114,0.00177080219323504
"101",0.021255354198165,0.0101735433463289,0.0101252790580499,0.010184612301188,0.00971370164831501,0.0400187072281347,0.0100734348655311,0.012203302145668,0.0429706944444029,0.0114873355817429,0.0100965516855066,0.0160570876949618,0.0267902079478452,0.0101175422679865,0.0215858945699321,0.0121229321616608,0.0350311034007294,0.00933262401831131,0.0103865799843665,0.0446235486808382,0.0118952391785272,0.00967194347138697,0.820568463893197,0.00278528490200255,0.0103393872438231,0.0128174199309471,0.00245689550730479,0.0155681025234754,0.0125652087033791,0.0101738052824381,0.0107876673171751,0.0107465556735655,0.0112609368755545,0.00973204183939881,0.0222888280683936,0.0760802205232416,0.0324024478994779,0.0119484674418418,0.00977906659278094,0.00702769460417221,0.0104031837600171,0.834514155248738,0.0142083727489686,0.0110705103444439,0.0165090465554294,0.0160052774532561,0.0202780632956413,0.0182870479542649,0.0120623102516397
"102",0.0873595797070702,0.0130552240709053,0.0129932888064006,0.0130694283339626,0.0124651311012928,0.0905324315097749,0.0129267596211337,0.150730589336323,0.0733245003737822,0.0147411511301472,0.0129564243362004,0.0410805981083668,0.0582780787138864,0.0129833605518654,0.0316205408394831,0.149338076899858,0.0636548108435366,0.0119761123121898,0.0133286038512054,0.0799851832245995,0.0152645944059129,0.0124115448198931,0.0517954096500676,0.0100566368962768,0.0132680436529205,0.020738667762875,0.047894462218016,0.0100666156445413,0.0203305883769473,0.01305556020105,0.0138433001397614,0.0137905435238041,0.0144506244436196,0.0124886661957973,0.0632027705135309,0.219291943504194,0.121776979771562,0.0153328997033712,0.0125490108241519,0.0333095887579881,0.0133499106864114,0.0470888232118036,0.00918738986864743,0.0142062591376428,0.0106750470123604,0.0103493008324694,0.055395447696263,0.0526847431160849,0.0154789887640041
"103",0.0167132350824166,0.00411729652944837,0.00409776367055518,0.00412177620460916,0.00393119572239656,0.0214811504779511,0.00407678200205845,0.00524987348998807,0.0113736842785645,0.0046489964521934,0.00408613752347486,0.00758249086280061,0.0101793057844893,0.00409463254329769,0.006927584487144,0.00521437731196551,0.00762977613806043,0.0037769712255765,0.0042035137873474,0.0135289863490258,0.00481407758530672,0.00391429592739997,0.011196508418099,0.00262512137516175,0.00418441459051502,0.00320812254435174,0.013920938305442,0.000366027738775336,0.00314499560231049,0.00411740253662762,0.00436583633585992,0.00434919819693511,0.00455737148186311,0.00393861811226882,0.019537610854494,0.0384562216323071,0.0162738483901432,0.00483561939589846,0.00395764932364792,0.00413028037440229,0.00421023343904934,0.0122312151693674,0.000334058600984927,0.00448030467544513,0.000388150641409806,0.000376306329294356,0.00751666475247552,0.00848735236385975,0.0048816922920102
"104",0.0644548576402001,0.309735265461229,0.308265850957992,0.310072261683187,0.295735306395258,0.36277437705208,0.306687445658501,0.349989816550049,0.3524311111032,0.349733894546905,0.307391241192467,0.319944966430325,0.329172048939912,0.308030303062581,0.322392062017657,0.347748575555276,0.0459224572295196,0.284133332837724,0.316221202306363,0.384532600117166,0.362152589246639,0.294463971563756,0.380122083078448,0.0270488735328603,0.314784411257027,0.0238119840962169,0.0117141734773462,0.00921430095106728,0.0233434303800954,0.309743240150826,0.328432374684712,0.327180723670557,0.342841147253832,0.296293676646464,0.297582015500569,0.129143279058266,0.396422624718856,0.363773132817991,0.297725353297974,0.0135627177632637,0.316726707093017,0.381315081666659,0.00840951698105299,0.337043578977321,0.00977121798546253,0.00947305190451118,0.0381939649816849,0.443187799861288,0.367239096613814
"105",0.125432961862067,0.145697871774005,0.145006666768477,0.145856393059149,0.139112363217859,0.166337496845641,0.144264193054384,0.152878528746319,0.156343650464477,0.164513020649555,0.144595254844556,0.152321850076904,0.14911865189684,0.14489586625304,0.143795232068114,0.151936471963368,0.0116087054639035,0.133654854680064,0.14874882302229,0.161633986468809,0.170354710601353,0.13851433386855,0.183936540317797,0.00169974780398989,0.148072963921259,0.0026026476415131,0.0133949294763457,0.000496268274232328,0.00255143476402845,0.145701623026872,0.154492895544163,0.153904125361038,0.161270707864212,0.139375017704882,0.14965104833148,0.0418434933594968,0.174292333036463,0.171117005941251,0.140048471019547,0.00854067205102688,0.14898660986738,0.164257600225688,0.000452923830193677,0.158543561641148,0.000526262981049226,0.00051020420814674,0.011440918189029,0.311993576939114,0.172747377439134
"106",0.00967956333789954,0.00477327812731085,0.00475063322732566,0.00477847151945773,0.00455752711073437,0.0152735403282981,0.0047263086884945,0.00612678394959286,0.0174241204397044,0.0053896902786775,0.00473715476320084,0.0086186876259197,0.0113156138222071,0.00474700323829156,0.00770056824870548,0.00608524595317333,0.0135190030046492,0.00437873104586475,0.00487323181011768,0.0190779436796159,0.00558107269582565,0.00453793478328447,0.0245774741047542,0.00221574930235929,0.00485108966469843,0.00335726939254864,0.00181155933985486,0.00566473864948489,0.00329120765474706,0.00477340102391215,0.00506141613564353,0.00504212715219506,0.00528346730841898,0.00456613206084574,0.00528133009323366,0.0210542418268532,0.0141488431115428,0.00560604662048344,0.00458819538913952,0.00458442764674715,0.00488102205943847,0.0249767839424923,0.00516997611854132,0.00519412195794797,0.00600711833363553,0.00582381273815952,0.00813597298071786,0.00921213807154325,0.00565946000611138
"107",0.0340827026952617,0.0291142213548992,0.0289761006309137,0.0291458980275159,0.027798265593132,0.0435958219465499,0.0288277350865231,0.0338055311070647,0.0350884121832721,0.0328739770913303,0.0288938898362381,0.0313064071101027,0.032333574352898,0.0289539598083101,0.0304915369633007,0.033586197991126,0.00639487509213613,0.0267077135508751,0.0297238807061582,0.0386891133540018,0.0340412985646814,0.0276787637868219,0.0410571755766262,0.00329461868625139,0.0295888264927195,0.00244359171833177,0.0101461619303408,0.0012754997952632,0.00239550861968356,0.0291149709527141,0.0308716956800091,0.0307540440957411,0.0322260787316293,0.0278507507858252,0.0286979399596022,0.0187363369961751,0.0391069042241856,0.0341936249850564,0.0279853242606235,0.00273706125536801,0.0297713966977024,0.0406907846108074,0.00116409668455132,0.0316811240398503,0.00135259165140313,0.00131131768203448,0.0053043792862759,0.0631455984389241,0.0345194155824215
