"Base Gene ID","Manuscript Gene ID","Manuscript Transcript ID","Genome Portal Gene ID","Genome Portal Transcript ID"
"G000001","HVAEP1_G000001","HVAEP1_T000001.1","HVAEP1.G000001","HVAEP1.T000001.1"
"G000002","HVAEP1_G000002","HVAEP1_T000002.1","HVAEP1.G000002","HVAEP1.T000002.1"
"G000003","HVAEP1_G000003","HVAEP1_T000003.1","HVAEP1.G000003","HVAEP1.T000003.1"
"G000004","HVAEP1_G000004","HVAEP1_T000004.1","HVAEP1.G000004","HVAEP1.T000004.1"
"G000004","HVAEP1_G000004","HVAEP1_T000004.2","HVAEP1.G000004","HVAEP1.T000004.2"
"G000004","HVAEP1_G000004","HVAEP1_T000004.3","HVAEP1.G000004","HVAEP1.T000004.3"
"G000005","HVAEP1_G000005","HVAEP1_T000005.1","HVAEP1.G000005","HVAEP1.T000005.1"
"G000006","HVAEP1_G000006","HVAEP1_T000006.1","HVAEP1.G000006","HVAEP1.T000006.1"
"G000007","HVAEP1_G000007","HVAEP1_T000007.1","HVAEP1.G000007","HVAEP1.T000007.1"
"G000008","HVAEP1_G000008","HVAEP1_T000008.1","HVAEP1.G000008","HVAEP1.T000008.1"
"G000008","HVAEP1_G000008","HVAEP1_T000008.2","HVAEP1.G000008","HVAEP1.T000008.2"
"G000009","HVAEP1_G000009","HVAEP1_T000009.1","HVAEP1.G000009","HVAEP1.T000009.1"
"G000009","HVAEP1_G000009","HVAEP1_T000009.2","HVAEP1.G000009","HVAEP1.T000009.2"
"G000010","HVAEP1_G000010","HVAEP1_T000010.1","HVAEP1.G000010","HVAEP1.T000010.1"
"G000011","HVAEP1_G000011","HVAEP1_T000011.1","HVAEP1.G000011","HVAEP1.T000011.1"
"G000012","HVAEP1_G000012","HVAEP1_T000012.1","HVAEP1.G000012","HVAEP1.T000012.1"
"G000012","HVAEP1_G000012","HVAEP1_T000012.2","HVAEP1.G000012","HVAEP1.T000012.2"
"G000012","HVAEP1_G000012","HVAEP1_T000012.3","HVAEP1.G000012","HVAEP1.T000012.3"
"G000013","HVAEP1_G000013","HVAEP1_T000013.1","HVAEP1.G000013","HVAEP1.T000013.1"
"G000014","HVAEP1_G000014","HVAEP1_T000014.1","HVAEP1.G000014","HVAEP1.T000014.1"
"G000015","HVAEP1_G000015","HVAEP1_T000015.1","HVAEP1.G000015","HVAEP1.T000015.1"
"G000016","HVAEP1_G000016","HVAEP1_T000016.1","HVAEP1.G000016","HVAEP1.T000016.1"
"G000017","HVAEP1_G000017","HVAEP1_T000017.1","HVAEP1.G000017","HVAEP1.T000017.1"
"G000018","HVAEP1_G000018","HVAEP1_T000018.1","HVAEP1.G000018","HVAEP1.T000018.1"
"G000019","HVAEP1_G000019","HVAEP1_T000019.1","HVAEP1.G000019","HVAEP1.T000019.1"
"G000020","HVAEP1_G000020","HVAEP1_T000020.1","HVAEP1.G000020","HVAEP1.T000020.1"
"G000021","HVAEP1_G000021","HVAEP1_T000021.1","HVAEP1.G000021","HVAEP1.T000021.1"
"G000022","HVAEP1_G000022","HVAEP1_T000022.1","HVAEP1.G000022","HVAEP1.T000022.1"
"G000023","HVAEP1_G000023","HVAEP1_T000023.1","HVAEP1.G000023","HVAEP1.T000023.1"
"G000024","HVAEP1_G000024","HVAEP1_T000024.1","HVAEP1.G000024","HVAEP1.T000024.1"
"G000025","HVAEP1_G000025","HVAEP1_T000025.1","HVAEP1.G000025","HVAEP1.T000025.1"
"G000026","HVAEP1_G000026","HVAEP1_T000026.1","HVAEP1.G000026","HVAEP1.T000026.1"
"G000027","HVAEP1_G000027","HVAEP1_T000027.1","HVAEP1.G000027","HVAEP1.T000027.1"
"G000028","HVAEP1_G000028","HVAEP1_T000028.1","HVAEP1.G000028","HVAEP1.T000028.1"
"G000029","HVAEP1_G000029","HVAEP1_T000029.1","HVAEP1.G000029","HVAEP1.T000029.1"
"G000030","HVAEP1_G000030","HVAEP1_T000030.1","HVAEP1.G000030","HVAEP1.T000030.1"
"G000031","HVAEP1_G000031","HVAEP1_T000031.1","HVAEP1.G000031","HVAEP1.T000031.1"
"G000032","HVAEP1_G000032","HVAEP1_T000032.1","HVAEP1.G000032","HVAEP1.T000032.1"
"G000033","HVAEP1_G000033","HVAEP1_T000033.1","HVAEP1.G000033","HVAEP1.T000033.1"
"G000034","HVAEP1_G000034","HVAEP1_T000034.1","HVAEP1.G000034","HVAEP1.T000034.1"
"G000035","HVAEP1_G000035","HVAEP1_T000035.1","HVAEP1.G000035","HVAEP1.T000035.1"
"G000036","HVAEP1_G000036","HVAEP1_T000036.1","HVAEP1.G000036","HVAEP1.T000036.1"
"G000037","HVAEP1_G000037","HVAEP1_T000037.1","HVAEP1.G000037","HVAEP1.T000037.1"
"G000038","HVAEP1_G000038","HVAEP1_T000038.1","HVAEP1.G000038","HVAEP1.T000038.1"
"G000038","HVAEP1_G000038","HVAEP1_T000038.2","HVAEP1.G000038","HVAEP1.T000038.2"
"G000039","HVAEP1_G000039","HVAEP1_T000039.1","HVAEP1.G000039","HVAEP1.T000039.1"
"G000040","HVAEP1_G000040","HVAEP1_T000040.1","HVAEP1.G000040","HVAEP1.T000040.1"
"G000041","HVAEP1_G000041","HVAEP1_T000041.1","HVAEP1.G000041","HVAEP1.T000041.1"
"G000042","HVAEP1_G000042","HVAEP1_T000042.1","HVAEP1.G000042","HVAEP1.T000042.1"
"G000043","HVAEP1_G000043","HVAEP1_T000043.1","HVAEP1.G000043","HVAEP1.T000043.1"
"G000044","HVAEP1_G000044","HVAEP1_T000044.1","HVAEP1.G000044","HVAEP1.T000044.1"
"G000045","HVAEP1_G000045","HVAEP1_T000045.1","HVAEP1.G000045","HVAEP1.T000045.1"
"G000046","HVAEP1_G000046","HVAEP1_T000046.1","HVAEP1.G000046","HVAEP1.T000046.1"
"G000047","HVAEP1_G000047","HVAEP1_T000047.1","HVAEP1.G000047","HVAEP1.T000047.1"
"G000048","HVAEP1_G000048","HVAEP1_T000048.1","HVAEP1.G000048","HVAEP1.T000048.1"
"G000049","HVAEP1_G000049","HVAEP1_T000049.1","HVAEP1.G000049","HVAEP1.T000049.1"
"G000050","HVAEP1_G000050","HVAEP1_T000050.1","HVAEP1.G000050","HVAEP1.T000050.1"
"G000051","HVAEP1_G000051","HVAEP1_T000051.1","HVAEP1.G000051","HVAEP1.T000051.1"
"G000052","HVAEP1_G000052","HVAEP1_T000052.1","HVAEP1.G000052","HVAEP1.T000052.1"
"G000053","HVAEP1_G000053","HVAEP1_T000053.1","HVAEP1.G000053","HVAEP1.T000053.1"
