"H_vulgarisAEP","Orthogroup","Ortholog","EnsemblID","EnsemblLongName","genBankAnnotation","PANTHER_ID","PANTHER_NAME","PFAM_ID","PFAM_NAME","UniprotHit"
"HVAEP1_T000001.1",NA,NA,NA,NA,NA,"PTHR47456:SF2","SI:DKEY-31C13.1",NA,NA,NA
"HVAEP1_T000002.1","OG0000453","LIPE","ENSG00000079435","lipase E, hormone sensitive type",NA,"PTHR23025","TRIACYLGLYCEROL LIPASE","PF07859; PF06350","alpha/beta hydrolase fold; Hormone-sensitive lipase (HSL) N-terminus","LIPS_MOUSE;Hormone-sensitive_lipase"
"HVAEP1_T000006.1","OG0002444","HIPK4, HIPK2, HIPK1, HIPK3","ENSG00000160396, ENSG00000064393, ENSG00000163349, ENSG00000110422","homeodomain interacting protein kinase 3, homeodomain interacting protein kinase 2, homeodomain interacting protein kinase 4, homeodomain interacting protein kinase 1",NA,NA,NA,NA,NA,NA
"HVAEP1_T000008.2",NA,NA,NA,NA,NA,"PTHR34825:SF1","CONSERVED PROTEIN, WITH A WEAK D-GALACTARATE DEHYDRATASE/ALTRONATE HYDROLASE DOMAIN","PF09820","Predicted AAA-ATPase",NA
"HVAEP1_T000009.2","OG0000453","LIPE","ENSG00000079435","lipase E, hormone sensitive type",NA,"PTHR23025","TRIACYLGLYCEROL LIPASE","PF06350; PF07859","Hormone-sensitive lipase (HSL) N-terminus; alpha/beta hydrolase fold","LIPS_MOUSE;Hormone-sensitive_lipase"
"HVAEP1_T000010.1",NA,NA,NA,NA,NA,NA,NA,"PF00505","HMG (high mobility group) box","SOX7_XENLA;Transcription_factor_Sox-7"
"HVAEP1_T000012.1","OG0002695","RBBP5","ENSG00000117222","RB binding protein 5, histone lysine methyltransferase complex subunit",NA,"PTHR44040","RETINOBLASTOMA-BINDING PROTEIN 5","PF00400","WD domain, G-beta repeat","RBBP5_HUMAN;Retinoblastoma-binding_protein_5"
"HVAEP1_T000020.1","OG0001134","VRTN","ENSG00000133980","vertebrae development associated",NA,NA,NA,NA,NA,NA
"HVAEP1_T000022.1",NA,NA,NA,NA,NA,NA,NA,"PF00531","Death domain","RIPK1_MOUSE;Receptor-interacting_serine/threonine-protein_kinase_1"
"HVAEP1_T000024.1",NA,NA,NA,NA,NA,NA,NA,"PF00001","7 transmembrane receptor (rhodopsin family)","FMAR_DROME;FMRFamide_receptor"
"HVAEP1_T000026.1","OG0000802","PIH1D2","ENSG00000150773","PIH1 domain containing 2",NA,"PTHR22997:SF6","PIH1 DOMAIN-CONTAINING PROTEIN 2","PF08190; PF18201","PIH1 N-terminal domain; PIH1 CS-like domain","PIHD2_HUMAN;PIH1_domain-containing_protein_2"
"HVAEP1_T000027.1","OG0004013","CFAP45","ENSG00000213085","cilia and flagella associated protein 45",NA,"PTHR15504","NASOPHARYNGEAL EPITHELIUM SPECIFIC PROTEIN 1","PF13868","Trichohyalin-plectin-homology domain","CFA45_HUMAN;Cilia-_and_flagella-associated_protein_45"
"HVAEP1_T000029.1",NA,NA,NA,NA,NA,NA,NA,"PF00078","Reverse transcriptase (RNA-dependent DNA polymerase)","RTXE_DROME;Probable_RNA-directed_DNA_polymerase_from_transposon_X-element"
"HVAEP1_T000030.1","OG0003115","DYM","ENSG00000141627","dymeclin",NA,"PTHR12895:SF9","DYMECLIN","PF09742","Dyggve-Melchior-Clausen syndrome protein","DYM_XENLA;Dymeclin"
"HVAEP1_T000032.1",NA,NA,NA,NA,NA,NA,NA,"PF01335","Death effector domain",NA
"HVAEP1_T000037.1",NA,NA,NA,NA,NA,NA,NA,"PF13424","Tetratricopeptide repeat",NA
"HVAEP1_T000040.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"RBBP5_HUMAN;Retinoblastoma-binding_protein_5"
"HVAEP1_T000041.1",NA,NA,NA,NA,NA,NA,NA,"PF03184","DDE superfamily endonuclease","CLZ9_COCLU;MFS-type_transporter_clz9"
"HVAEP1_T000042.1","OG0002695","RBBP5","ENSG00000117222","RB binding protein 5, histone lysine methyltransferase complex subunit",NA,"PTHR44040","RETINOBLASTOMA-BINDING PROTEIN 5",NA,NA,"RBBP5_DROME;Retinoblastoma-binding_protein_5_homolog"
"HVAEP1_T000043.1","OG0002695","RBBP5","ENSG00000117222","RB binding protein 5, histone lysine methyltransferase complex subunit",NA,NA,NA,NA,NA,NA
"HVAEP1_T000044.1","OG0002695","RBBP5","ENSG00000117222","RB binding protein 5, histone lysine methyltransferase complex subunit",NA,NA,NA,NA,NA,"RBBP5_HUMAN;Retinoblastoma-binding_protein_5"
"HVAEP1_T000045.1","OG0002695","RBBP5","ENSG00000117222","RB binding protein 5, histone lysine methyltransferase complex subunit",NA,"PTHR44040","RETINOBLASTOMA-BINDING PROTEIN 5",NA,NA,"RBBP5_DROME;Retinoblastoma-binding_protein_5_homolog"
"HVAEP1_T000046.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"POL_BAEVM;Gag-Pol_polyprotein"
"HVAEP1_T000048.1",NA,NA,NA,NA,NA,NA,NA,"PF01335","Death effector domain",NA
"HVAEP1_T000049.1",NA,NA,NA,NA,NA,NA,NA,"PF05970","PIF1-like helicase","PIF1_XENLA;ATP-dependent_DNA_helicase_PIF1"
"HVAEP1_T000054.1","OG0000574","KMT5A","ENSG00000183955","lysine methyltransferase 5A",NA,"PTHR46167","N-LYSINE METHYLTRANSFERASE KMT5A",NA,NA,NA
"HVAEP1_T000056.2",NA,NA,NA,NA,NA,NA,NA,"PF01335","Death effector domain",NA
"HVAEP1_T000058.1",NA,NA,NA,NA,NA,"PTHR44040","RETINOBLASTOMA-BINDING PROTEIN 5",NA,NA,"RBBP5_HUMAN;Retinoblastoma-binding_protein_5"
"HVAEP1_T000060.1","OG0002023","RC3H2, RC3H1","ENSG00000056586, ENSG00000135870","ring finger and CCCH-type domains 2, ring finger and CCCH-type domains 1",NA,"PTHR13139:SF54","LD12033P","PF18386","Roquin II domain","RC3H1_XENLA;Roquin-1"
"HVAEP1_T000061.1","OG0003115","DYM","ENSG00000141627","dymeclin",NA,NA,NA,"PF09742","Dyggve-Melchior-Clausen syndrome protein","DYM_XENLA;Dymeclin"
"HVAEP1_T000063.1","OG0002023","RC3H2, RC3H1","ENSG00000056586, ENSG00000135870","ring finger and CCCH-type domains 2, ring finger and CCCH-type domains 1",NA,"PTHR13139:SF54","LD12033P",NA,NA,"RC3H2_MOUSE;Roquin-2"
"HVAEP1_T000064.1","OG0002023","RC3H2, RC3H1","ENSG00000056586, ENSG00000135870","ring finger and CCCH-type domains 2, ring finger and CCCH-type domains 1",NA,"PTHR13139:SF54","LD12033P","PF18386","Roquin II domain","RC3H1_XENLA;Roquin-1"
"HVAEP1_T000070.1",NA,NA,NA,NA,NA,NA,NA,"PF05485","THAP domain",NA
