HVAEP1_G000001	HVAEP1_T000001.1
HVAEP1_G000002	HVAEP1_T000002.1
HVAEP1_G000003	HVAEP1_T000003.1
HVAEP1_G000004	HVAEP1_T000004.1
HVAEP1_G000004	HVAEP1_T000004.2
HVAEP1_G000004	HVAEP1_T000004.3
HVAEP1_G000005	HVAEP1_T000005.1
HVAEP1_G000006	HVAEP1_T000006.1
HVAEP1_G000007	HVAEP1_T000007.1
HVAEP1_G000008	HVAEP1_T000008.1
HVAEP1_G000008	HVAEP1_T000008.2
HVAEP1_G000009	HVAEP1_T000009.1
HVAEP1_G000009	HVAEP1_T000009.2
HVAEP1_G000010	HVAEP1_T000010.1
HVAEP1_G000011	HVAEP1_T000011.1
HVAEP1_G000012	HVAEP1_T000012.1
HVAEP1_G000012	HVAEP1_T000012.2
HVAEP1_G000012	HVAEP1_T000012.3
HVAEP1_G000013	HVAEP1_T000013.1
HVAEP1_G000014	HVAEP1_T000014.1
HVAEP1_G000015	HVAEP1_T000015.1
HVAEP1_G000016	HVAEP1_T000016.1
HVAEP1_G000017	HVAEP1_T000017.1
HVAEP1_G000018	HVAEP1_T000018.1
HVAEP1_G000019	HVAEP1_T000019.1
HVAEP1_G000020	HVAEP1_T000020.1
HVAEP1_G000021	HVAEP1_T000021.1
HVAEP1_G000022	HVAEP1_T000022.1
HVAEP1_G000023	HVAEP1_T000023.1
HVAEP1_G000024	HVAEP1_T000024.1
HVAEP1_G000025	HVAEP1_T000025.1
HVAEP1_G000026	HVAEP1_T000026.1
HVAEP1_G000027	HVAEP1_T000027.1
HVAEP1_G000028	HVAEP1_T000028.1
HVAEP1_G000029	HVAEP1_T000029.1
HVAEP1_G000030	HVAEP1_T000030.1
HVAEP1_G000031	HVAEP1_T000031.1
HVAEP1_G000032	HVAEP1_T000032.1
HVAEP1_G000033	HVAEP1_T000033.1
HVAEP1_G000034	HVAEP1_T000034.1
HVAEP1_G000035	HVAEP1_T000035.1
HVAEP1_G000036	HVAEP1_T000036.1
HVAEP1_G000037	HVAEP1_T000037.1
HVAEP1_G000038	HVAEP1_T000038.1
HVAEP1_G000038	HVAEP1_T000038.2
HVAEP1_G000039	HVAEP1_T000039.1
HVAEP1_G000040	HVAEP1_T000040.1
HVAEP1_G000041	HVAEP1_T000041.1
HVAEP1_G000042	HVAEP1_T000042.1
HVAEP1_G000043	HVAEP1_T000043.1
HVAEP1_G000044	HVAEP1_T000044.1
HVAEP1_G000045	HVAEP1_T000045.1
HVAEP1_G000046	HVAEP1_T000046.1
HVAEP1_G000047	HVAEP1_T000047.1
