"age","ID","clade"
"N36","HVAEP1-G013495","Hydra vulgaris"
"N36","HVAEP1-G012562","Hydra vulgaris"
"N36","HVAEP1-G007811","Hydra vulgaris"
"N36","HVAEP1-G009305","Hydra vulgaris"
"N36","HVAEP1-G012340","Hydra vulgaris"
"N36","HVAEP1-G009304","Hydra vulgaris"
"N36","HVAEP1-G009243","Hydra vulgaris"
"N36","HVAEP1-G002618","Hydra vulgaris"
"N36","HVAEP1-G009242","Hydra vulgaris"
"N36","HVAEP1-G002619","Hydra vulgaris"
"N36","HVAEP1-G002623","Hydra vulgaris"
"N36","HVAEP1-G027117","Hydra vulgaris"
"N36","HVAEP1-G004335","Hydra vulgaris"
"N36","HVAEP1-G024051","Hydra vulgaris"
"N36","HVAEP1-G009015","Hydra vulgaris"
"N36","HVAEP1-G007809","Hydra vulgaris"
"N36","HVAEP1-G010484","Hydra vulgaris"
"N36","HVAEP1-G021089","Hydra vulgaris"
"N36","HVAEP1-G012341","Hydra vulgaris"
"N36","HVAEP1-G025789","Hydra vulgaris"
"N36","HVAEP1-G007474","Hydra vulgaris"
"N36","HVAEP1-G013704","Hydra vulgaris"
"N36","HVAEP1-G010483","Hydra vulgaris"
"N36","HVAEP1-G025788","Hydra vulgaris"
"N36","HVAEP1-G025953","Hydra vulgaris"
"N36","HVAEP1-G012339","Hydra vulgaris"
"N36","HVAEP1-G012561","Hydra vulgaris"
"N36","HVAEP1-G013496","Hydra vulgaris"
"N36","HVAEP1-G007162","Hydra vulgaris"
"N36","HVAEP1-G009082","Hydra vulgaris"
"N36","HVAEP1-G009086","Hydra vulgaris"
"N36","HVAEP1-G009109","Hydra vulgaris"
"N36","HVAEP1-G009113","Hydra vulgaris"
"N36","HVAEP1-G009099","Hydra vulgaris"
"N36","HVAEP1-G009076","Hydra vulgaris"
"N36","HVAEP1-G008993","Hydra vulgaris"
"N36","HVAEP1-G010592","Hydra vulgaris"
"N36","HVAEP1-G010652","Hydra vulgaris"
"N36","HVAEP1-G009078","Hydra vulgaris"
"N36","HVAEP1-G009079","Hydra vulgaris"
"N36","HVAEP1-G009087","Hydra vulgaris"
"N36","HVAEP1-G009110","Hydra vulgaris"
"N36","HVAEP1-G009083","Hydra vulgaris"
"N36","HVAEP1-G009103","Hydra vulgaris"
"N36","HVAEP1-G009090","Hydra vulgaris"
"N36","HVAEP1-G009093","Hydra vulgaris"
"N36","HVAEP1-G009096","Hydra vulgaris"
"N36","HVAEP1-G009100","Hydra vulgaris"
"N36","HVAEP1-G009114","Hydra vulgaris"
"N36","HVAEP1-G009106","Hydra vulgaris"
"N36","HVAEP1-G016905","Hydra vulgaris"
"N36","HVAEP1-G002914","Hydra vulgaris"
"N36","HVAEP1-G028509","Hydra vulgaris"
"N36","HVAEP1-G017637","Hydra vulgaris"
"N36","HVAEP1-G012319","Hydra vulgaris"
"N36","HVAEP1-G013525","Hydra vulgaris"
"N36","HVAEP1-G020144","Hydra vulgaris"
"N36","HVAEP1-G028507","Hydra vulgaris"
"N36","HVAEP1-G016904","Hydra vulgaris"
"N36","HVAEP1-G027857","Hydra vulgaris"
"N36","HVAEP1-G014142","Hydra vulgaris"
"N36","HVAEP1-G001626","Hydra vulgaris"
"N36","HVAEP1-G025313","Hydra vulgaris"
"N36","HVAEP1-G025322","Hydra vulgaris"
"N36","HVAEP1-G009809","Hydra vulgaris"
"N36","HVAEP1-G015857","Hydra vulgaris"
"N36","HVAEP1-G024376","Hydra vulgaris"
"N36","HVAEP1-G010879","Hydra vulgaris"
"N36","HVAEP1-G003119","Hydra vulgaris"
"N36","HVAEP1-G011928","Hydra vulgaris"
"N36","HVAEP1-G025658","Hydra vulgaris"
"N36","HVAEP1-G025141","Hydra vulgaris"
"N36","HVAEP1-G004930","Hydra vulgaris"
"N36","HVAEP1-G020955","Hydra vulgaris"
"N36","HVAEP1-G002916","Hydra vulgaris"
"N36","HVAEP1-G017638","Hydra vulgaris"
"N36","HVAEP1-G021874","Hydra vulgaris"
"N36","HVAEP1-G003118","Hydra vulgaris"
"N36","HVAEP1-G011926","Hydra vulgaris"
"N36","HVAEP1-G010880","Hydra vulgaris"
"N36","HVAEP1-G012318","Hydra vulgaris"
"N36","HVAEP1-G003117","Hydra vulgaris"
"N36","HVAEP1-G002915","Hydra vulgaris"
"N36","HVAEP1-G027858","Hydra vulgaris"
"N36","HVAEP1-G025140","Hydra vulgaris"
"N36","HVAEP1-G014546","Hydra vulgaris"
"N36","HVAEP1-G025321","Hydra vulgaris"
"N36","HVAEP1-G013591","Hydra vulgaris"
"N36","HVAEP1-G014038","Hydra vulgaris"
"N36","HVAEP1-G004931","Hydra vulgaris"
"N36","HVAEP1-G009808","Hydra vulgaris"
"N36","HVAEP1-G020954","Hydra vulgaris"
"N36","HVAEP1-G013590","Hydra vulgaris"
"N36","HVAEP1-G027859","Hydra vulgaris"
"N36","HVAEP1-G003116","Hydra vulgaris"
"N36","HVAEP1-G014143","Hydra vulgaris"
"N36","HVAEP1-G013526","Hydra vulgaris"
"N36","HVAEP1-G021873","Hydra vulgaris"
"N36","HVAEP1-G001627","Hydra vulgaris"
"N36","HVAEP1-G025311","Hydra vulgaris"
"N36","HVAEP1-G024375","Hydra vulgaris"
"N36","HVAEP1-G014545","Hydra vulgaris"
"N36","HVAEP1-G028508","Hydra vulgaris"
"N36","HVAEP1-G011927","Hydra vulgaris"
"N36","HVAEP1-G009810","Hydra vulgaris"
"N36","HVAEP1-G015859","Hydra vulgaris"
"N36","HVAEP1-G015858","Hydra vulgaris"
"N36","HVAEP1-G017558","Hydra vulgaris"
"N36","HVAEP1-G015694","Hydra vulgaris"
"N36","HVAEP1-G018028","Hydra vulgaris"
"N36","HVAEP1-G017557","Hydra vulgaris"
"N36","HVAEP1-G013549","Hydra vulgaris"
"N36","HVAEP1-G027526","Hydra vulgaris"
"N36","HVAEP1-G017978","Hydra vulgaris"
"N36","HVAEP1-G014295","Hydra vulgaris"
"N36","HVAEP1-G025399","Hydra vulgaris"
"N36","HVAEP1-G021798","Hydra vulgaris"
"N36","HVAEP1-G021519","Hydra vulgaris"
"N36","HVAEP1-G004834","Hydra vulgaris"
"N36","HVAEP1-G003616","Hydra vulgaris"
"N36","HVAEP1-G018029","Hydra vulgaris"
"N36","HVAEP1-G017976","Hydra vulgaris"
"N36","HVAEP1-G005216","Hydra vulgaris"
"N36","HVAEP1-G015397","Hydra vulgaris"
"N36","HVAEP1-G004835","Hydra vulgaris"
"N36","HVAEP1-G017556","Hydra vulgaris"
"N36","HVAEP1-G017977","Hydra vulgaris"
"N36","HVAEP1-G021799","Hydra vulgaris"
"N36","HVAEP1-G012028","Hydra vulgaris"
"N36","HVAEP1-G020957","Hydra vulgaris"
"N36","HVAEP1-G015693","Hydra vulgaris"
"N36","HVAEP1-G021186","Hydra vulgaris"
"N36","HVAEP1-G020691","Hydra vulgaris"
"N36","HVAEP1-G013511","Hydra vulgaris"
"N36","HVAEP1-G020958","Hydra vulgaris"
"N36","HVAEP1-G016431","Hydra vulgaris"
"N36","HVAEP1-G026559","Hydra vulgaris"
"N36","HVAEP1-G019313","Hydra vulgaris"
"N36","HVAEP1-G009302","Hydra vulgaris"
"N36","HVAEP1-G026889","Hydra vulgaris"
"N36","HVAEP1-G012329","Hydra vulgaris"
"N36","HVAEP1-G019493","Hydra vulgaris"
"N36","HVAEP1-G015588","Hydra vulgaris"
"N36","HVAEP1-G010486","Hydra vulgaris"
"N36","HVAEP1-G002620","Hydra vulgaris"
"N36","HVAEP1-G027118","Hydra vulgaris"
"N36","HVAEP1-G012343","Hydra vulgaris"
"N36","HVAEP1-G013498","Hydra vulgaris"
"N36","HVAEP1-G010594","Hydra vulgaris"
"N36","HVAEP1-G010654","Hydra vulgaris"
"N36","HVAEP1-G009104","Hydra vulgaris"
"N36","HVAEP1-G009107","Hydra vulgaris"
"N36","HVAEP1-G009115","Hydra vulgaris"
"N36","HVAEP1-G009080","Hydra vulgaris"
"N36","HVAEP1-G009084","Hydra vulgaris"
"N36","HVAEP1-G009088","Hydra vulgaris"
"N36","HVAEP1-G009094","Hydra vulgaris"
"N36","HVAEP1-G009097","Hydra vulgaris"
"N36","HVAEP1-G009091","Hydra vulgaris"
"N36","HVAEP1-G009101","Hydra vulgaris"
"N36","HVAEP1-G009111","Hydra vulgaris"
"N36","HVAEP1-G015488","Hydra vulgaris"
"N36","HVAEP1-G018818","Hydra vulgaris"
"N36","HVAEP1-G018795","Hydra vulgaris"
"N36","HVAEP1-G018819","Hydra vulgaris"
"N36","HVAEP1-G005859","Hydra vulgaris"
"N36","HVAEP1-G026988","Hydra vulgaris"
"N36","HVAEP1-G005649","Hydra vulgaris"
"N36","HVAEP1-G006240","Hydra vulgaris"
"N36","HVAEP1-G025018","Hydra vulgaris"
"N36","HVAEP1-G012504","Hydra vulgaris"
"N36","HVAEP1-G008154","Hydra vulgaris"
"N36","HVAEP1-G000532","Hydra vulgaris"
"N36","HVAEP1-G019950","Hydra vulgaris"
"N36","HVAEP1-G018331","Hydra vulgaris"
"N36","HVAEP1-G019610","Hydra vulgaris"
"N36","HVAEP1-G002967","Hydra vulgaris"
"N36","HVAEP1-G019741","Hydra vulgaris"
"N36","HVAEP1-G008859","Hydra vulgaris"
"N36","HVAEP1-G010980","Hydra vulgaris"
"N36","HVAEP1-G010979","Hydra vulgaris"
"N36","HVAEP1-G011010","Hydra vulgaris"
"N36","HVAEP1-G012021","Hydra vulgaris"
"N36","HVAEP1-G001733","Hydra vulgaris"
"N36","HVAEP1-G015601","Hydra vulgaris"
"N36","HVAEP1-G015660","Hydra vulgaris"
"N36","HVAEP1-G000533","Hydra vulgaris"
"N36","HVAEP1-G022497","Hydra vulgaris"
"N36","HVAEP1-G013928","Hydra vulgaris"
"N36","HVAEP1-G003276","Hydra vulgaris"
"N36","HVAEP1-G003274","Hydra vulgaris"
"N36","HVAEP1-G003305","Hydra vulgaris"
"N36","HVAEP1-G003291","Hydra vulgaris"
"N36","HVAEP1-G003304","Hydra vulgaris"
"N36","HVAEP1-G003307","Hydra vulgaris"
"N36","HVAEP1-G003267","Hydra vulgaris"
"N36","HVAEP1-G020986","Hydra vulgaris"
"N36","HVAEP1-G014244","Hydra vulgaris"
"N36","HVAEP1-G003295","Hydra vulgaris"
"N36","HVAEP1-G014246","Hydra vulgaris"
"N36","HVAEP1-G014241","Hydra vulgaris"
"N36","HVAEP1-G003287","Hydra vulgaris"
"N36","HVAEP1-G003300","Hydra vulgaris"
"N36","HVAEP1-G003299","Hydra vulgaris"
"N36","HVAEP1-G014243","Hydra vulgaris"
"N36","HVAEP1-G014247","Hydra vulgaris"
"N36","HVAEP1-G014242","Hydra vulgaris"
"N36","HVAEP1-G003303","Hydra vulgaris"
"N36","HVAEP1-G003264","Hydra vulgaris"
"N36","HVAEP1-G011346","Hydra vulgaris"
"N36","HVAEP1-G010122","Hydra vulgaris"
"N36","HVAEP1-G014245","Hydra vulgaris"
"N36","HVAEP1-G003253","Hydra vulgaris"
"N36","HVAEP1-G003266","Hydra vulgaris"
"N36","HVAEP1-G001922","Hydra vulgaris"
"N36","HVAEP1-G013520","Hydra vulgaris"
"N36","HVAEP1-G003286","Hydra vulgaris"
"N36","HVAEP1-G028258","Hydra vulgaris"
"N36","HVAEP1-G013171","Hydra vulgaris"
"N36","HVAEP1-G024477","Hydra vulgaris"
"N36","HVAEP1-G024479","Hydra vulgaris"
"N36","HVAEP1-G025893","Hydra vulgaris"
"N36","HVAEP1-G025508","Hydra vulgaris"
"N36","HVAEP1-G010870","Hydra vulgaris"
"N36","HVAEP1-G009962","Hydra vulgaris"
"N36","HVAEP1-G025492","Hydra vulgaris"
"N36","HVAEP1-G006241","Hydra vulgaris"
"N36","HVAEP1-G012055","Hydra vulgaris"
"N36","HVAEP1-G021562","Hydra vulgaris"
"N36","HVAEP1-G009876","Hydra vulgaris"
"N36","HVAEP1-G007520","Hydra vulgaris"
"N36","HVAEP1-G004609","Hydra vulgaris"
"N36","HVAEP1-G009043","Hydra vulgaris"
"N36","HVAEP1-G003225","Hydra vulgaris"
"N36","HVAEP1-G025105","Hydra vulgaris"
"N36","HVAEP1-G002244","Hydra vulgaris"
"N36","HVAEP1-G009165","Hydra vulgaris"
"N36","HVAEP1-G027029","Hydra vulgaris"
"N36","HVAEP1-G015768","Hydra vulgaris"
"N36","HVAEP1-G004602","Hydra vulgaris"
"N36","HVAEP1-G015169","Hydra vulgaris"
"N36","HVAEP1-G002766","Hydra vulgaris"
"N36","HVAEP1-G012272","Hydra vulgaris"
"N36","HVAEP1-G008574","Hydra vulgaris"
"N36","HVAEP1-G024415","Hydra vulgaris"
"N36","HVAEP1-G004973","Hydra vulgaris"
